paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
ICCD-2016-P0001,ICCD,ICCD,2016,complete,Fast register consolidation and migration for heterogeneous multi-core processors,Elliott Forbes|Eric Rotenberg,Proceedings,,accepted_paper,10.1109/iccd.2016.7753254,,https://doi.org/10.1109/iccd.2016.7753254,,,https://dblp.uni-trier.de/db/conf/iccd/iccd2016.html,,https://doi.org/10.1109/iccd.2016.7753254,,Crossref DOI metadata for ICCD 2016,https://doi.org/10.1109/iccd.2016.7753254,paper,primary,verified,high,T08/T09/T11,runtime_processor_gpu_heterogeneous_systems,heterogeneous|processor,ICCD-C08,"Runtime, processor, GPU, and heterogeneous systems",provisional,keyword/title-level provisional cluster.,,,,,none,,,maybe,,container=2016 IEEE 34th International Conference on Computer Design (ICCD); pages=1-8
ICCD-2016-P0002,ICCD,ICCD,2016,complete,An adaptive Non-Uniform Loop Tiling for DMA-based bulk data transfers on many-core processor,Keni Qiu|Yuanhui Ni|Weigong Zhang|Jing Wang|Xiaoqiang Wu|Chun Jason Xue|Tao Li,Proceedings,,accepted_paper,10.1109/iccd.2016.7753255,,https://doi.org/10.1109/iccd.2016.7753255,,,https://dblp.uni-trier.de/db/conf/iccd/iccd2016.html,,https://doi.org/10.1109/iccd.2016.7753255,,Crossref DOI metadata for ICCD 2016,https://doi.org/10.1109/iccd.2016.7753255,paper,primary,verified,high,T08/T09/T11,runtime_processor_gpu_heterogeneous_systems,processor,ICCD-C08,"Runtime, processor, GPU, and heterogeneous systems",provisional,keyword/title-level provisional cluster.,,,,,none,,,maybe,,container=2016 IEEE 34th International Conference on Computer Design (ICCD); pages=9-16
ICCD-2016-P0003,ICCD,ICCD,2016,complete,"Enabling technologies for memory compression: Metadata, mapping, and prediction",Arjun Deb|Paolo Faraboschi|Ali Shafiee|Naveen Muralimanohar|Rajeev Balasubramonian|Robert Schreiber,Proceedings,,accepted_paper,10.1109/iccd.2016.7753256,,https://doi.org/10.1109/iccd.2016.7753256,,,https://dblp.uni-trier.de/db/conf/iccd/iccd2016.html,,https://doi.org/10.1109/iccd.2016.7753256,,Crossref DOI metadata for ICCD 2016,https://doi.org/10.1109/iccd.2016.7753256,paper,primary,verified,high,T01/T10,memory_pim_storage_data_movement,memory,ICCD-C01,"Memory systems, PIM, storage, and data movement",provisional,keyword/title-level provisional cluster.,,,,,none,,,maybe,,container=2016 IEEE 34th International Conference on Computer Design (ICCD); pages=17-24
ICCD-2016-P0004,ICCD,ICCD,2016,complete,"Accelerating pointer chasing in 3D-stacked memory: Challenges, mechanisms, evaluation",Kevin Hsieh|Samira Khan|Nandita Vijaykumar|Kevin K. Chang|Amirali Boroumand|Saugata Ghose|Onur Mutlu,Proceedings,CSA 1: Memory Optimization,accepted_paper,10.1109/iccd.2016.7753257,,https://doi.org/10.1109/iccd.2016.7753257,,,https://dblp.uni-trier.de/db/conf/iccd/iccd2016.html,https://www.iccd-conf.com/2016/Program_2016.html,https://doi.org/10.1109/iccd.2016.7753257,,Crossref DOI metadata for ICCD 2016,https://doi.org/10.1109/iccd.2016.7753257,paper,primary,verified,high,T01/T10,memory_pim_storage_data_movement,3d_stacked|memory,ICCD-C01,"Memory systems, PIM, storage, and data movement",provisional,keyword/title-level provisional cluster.,,,,,milestone,5,near-data / 3D-stacked-memory line anchor,yes,,container=2016 IEEE 34th International Conference on Computer Design (ICCD); pages=25-32; second_wave_metadata_backfill=official/session/artifact source checked 2026-06-27
ICCD-2016-P0005,ICCD,ICCD,2016,complete,Scalable memory fabric for silicon interposer-based multi-core systems,Itir Akgun|Jia Zhan|Yuangang Wang|Yuan Xie,Proceedings,,accepted_paper,10.1109/iccd.2016.7753258,,https://doi.org/10.1109/iccd.2016.7753258,,,https://dblp.uni-trier.de/db/conf/iccd/iccd2016.html,,https://doi.org/10.1109/iccd.2016.7753258,,Crossref DOI metadata for ICCD 2016,https://doi.org/10.1109/iccd.2016.7753258,paper,primary,verified,high,T01/T10,memory_pim_storage_data_movement,memory,ICCD-C01,"Memory systems, PIM, storage, and data movement",provisional,keyword/title-level provisional cluster.,,,,,none,,,maybe,,container=2016 IEEE 34th International Conference on Computer Design (ICCD); pages=33-40
ICCD-2016-P0006,ICCD,ICCD,2016,complete,BEOL stack-aware routability prediction from placement using data mining techniques,Wei-Ting J. Chan|Yang Du|Andrew B. Kahng|Siddhartha Nath|Kambiz Samadi,Proceedings,,accepted_paper,10.1109/iccd.2016.7753259,,https://doi.org/10.1109/iccd.2016.7753259,,,https://dblp.uni-trier.de/db/conf/iccd/iccd2016.html,,https://doi.org/10.1109/iccd.2016.7753259,,Crossref DOI metadata for ICCD 2016,https://doi.org/10.1109/iccd.2016.7753259,paper,primary,verified,high,T07/T12,eda_synthesis_timing_physical_design,placement,ICCD-C07,"EDA, synthesis, timing, and physical design",provisional,keyword/title-level provisional cluster.,,,,,none,,,maybe,,container=2016 IEEE 34th International Conference on Computer Design (ICCD); pages=41-48
ICCD-2016-P0007,ICCD,ICCD,2016,complete,Process variations-aware resistive associative processor design,Hasan Erdem Yantir|Mohammed E. Fouda|Ahmed M. Eltawil|Fadi J. Kurdahi,Proceedings,,accepted_paper,10.1109/iccd.2016.7753260,,https://doi.org/10.1109/iccd.2016.7753260,,,https://dblp.uni-trier.de/db/conf/iccd/iccd2016.html,,https://doi.org/10.1109/iccd.2016.7753260,,Crossref DOI metadata for ICCD 2016,https://doi.org/10.1109/iccd.2016.7753260,paper,primary,verified,high,T08/T09/T11,runtime_processor_gpu_heterogeneous_systems,processor,ICCD-C08,"Runtime, processor, GPU, and heterogeneous systems",provisional,keyword/title-level provisional cluster.,,,,,none,,,maybe,,container=2016 IEEE 34th International Conference on Computer Design (ICCD); pages=49-55
ICCD-2016-P0008,ICCD,ICCD,2016,complete,Extending On-chip Interconnects for rack-level remote resource access,Yisong Chang|Ke Zhang|Sally A. McKee|Lixin Zhang|Mingyu Chen|Liqiang Ren|Zhiwei Xu,Proceedings,,accepted_paper,10.1109/iccd.2016.7753261,,https://doi.org/10.1109/iccd.2016.7753261,,,https://dblp.uni-trier.de/db/conf/iccd/iccd2016.html,,https://doi.org/10.1109/iccd.2016.7753261,,Crossref DOI metadata for ICCD 2016,https://doi.org/10.1109/iccd.2016.7753261,paper,primary,verified,high,T06/T10,noc_interconnect_multicore_dataflow,interconnect,ICCD-C04,"NoC, interconnect, multicore, and dataflow",provisional,keyword/title-level provisional cluster.,,,,,none,,,maybe,,container=2016 IEEE 34th International Conference on Computer Design (ICCD); pages=56-63
ICCD-2016-P0009,ICCD,ICCD,2016,complete,HS-BAS: A hybrid storage system based on band awareness of Shingled Write Disk,Wenjian Xiao|Huanqing Dong|Liuying Ma|Zhenjun Liu|Qiang Zhang,Proceedings,,accepted_paper,10.1109/iccd.2016.7753262,,https://doi.org/10.1109/iccd.2016.7753262,,,https://dblp.uni-trier.de/db/conf/iccd/iccd2016.html,,https://doi.org/10.1109/iccd.2016.7753262,,Crossref DOI metadata for ICCD 2016,https://doi.org/10.1109/iccd.2016.7753262,paper,primary,verified,high,T01/T10,memory_pim_storage_data_movement,storage,ICCD-C01,"Memory systems, PIM, storage, and data movement",provisional,keyword/title-level provisional cluster.,,,,,none,,,maybe,,container=2016 IEEE 34th International Conference on Computer Design (ICCD); pages=64-71
ICCD-2016-P0010,ICCD,ICCD,2016,complete,BDR: A Balanced Data Redistribution scheme to accelerate the scaling process of XOR-based Triple Disk Failure Tolerant arrays,Yanbing Jiang|Chentao Wu|Jie Li|Minyi Guo,Proceedings,,accepted_paper,10.1109/iccd.2016.7753263,,https://doi.org/10.1109/iccd.2016.7753263,,,https://dblp.uni-trier.de/db/conf/iccd/iccd2016.html,,https://doi.org/10.1109/iccd.2016.7753263,,Crossref DOI metadata for ICCD 2016,https://doi.org/10.1109/iccd.2016.7753263,paper,primary,verified,high,T11/T12,other_needs_review,needs_review,ICCD-C99,Other computer-design proceedings rows needing review,provisional,fallback title-level cluster; inspect abstract/session before using as topic evidence.,,,,,none,,,maybe,,container=2016 IEEE 34th International Conference on Computer Design (ICCD); pages=72-79
