award_id,venue_id,venue_name,year,year_status,award_name,award_category,award_rank,title,authors,paper_id,doi,official_url,proceedings_url,publisher_url,secondary_url,source_title,source_url,source_type,source_priority,verification_status,confidence,conflict_status,conflict_notes,topic_primary,topic_secondary,topic_tags,representative_role,milestone_candidate,impact_notes,missing_fields,notes
PPoPP-2016-A01,PPoPP,PPoPP,2016,complete,Distinguished Paper,distinguished_paper,Winner,Gunrock: a high-performance graph processing library on the GPU,Yangzihao Wang|Andrew Davidson|Yuechao Pan|Yuduo Wu|Andy Riffel|John D. Owens,PPoPP-2016-P0011,10.1145/2851141.2851145,https://ppopp16.sigplan.org/program/program-PPoPP-2016,,https://doi.org/10.1145/2851141.2851145,,SIGPLAN2016 official program badge,https://ppopp16.sigplan.org/program/program-PPoPP-2016,official_page,primary,verified,high,none,,PPOPP-T05,irregular_graph_and_search_algorithms,irregular_graph|search,milestone,yes,,,
PPoPP-2016-A02,PPoPP,PPoPP,2016,complete,Distinguished Paper,distinguished_paper,Winner,DomLock: a new multi-granularity locking technique for hierarchies,Saurabh Kalikar|Rupesh Nasre,PPoPP-2016-P0023,10.1145/2851141.2851164,https://ppopp16.sigplan.org/program/program-PPoPP-2016,,https://doi.org/10.1145/2851141.2851164,,SIGPLAN2016 official program badge,https://ppopp16.sigplan.org/program/program-PPoPP-2016,official_page,primary,verified,high,none,,PPOPP-T01,scalable_synchronization_and_concurrent_data_structures,concurrency|synchronization,milestone,yes,,,
PPoPP-2017-A01,PPoPP,PPoPP,2017,complete,Best Paper Award,best_paper,Winner,Tapir: Embedding Fork-Join Parallelism into LLVM's Intermediate Representation,Tao B. Schardl|William S. Moses|Charles E. Leiserson,PPoPP-2017-P0018,10.1145/3018743.3018758,https://ppopp17.sigplan.org/info/list-of-accepted-papers,,https://doi.org/10.1145/3018743.3018758,,PPoPP 2017 accepted papers page and DBLP DOI,https://ppopp17.sigplan.org/info/list-of-accepted-papers,official_page,primary,verified,high,none,,PPOPP-T04,parallel_compilers_languages_and_programming_models,compiler|programming_model,milestone,yes,,,
PPoPP-2018-A01,PPoPP,PPoPP,2018,complete,Best Paper Award,best_paper,Winner,Featherlight on-the-fly false-sharing detection,Milind Chabbi|Shasha Wen|Xu Liu,PPoPP-2018-P0012,10.1145/3178487.3178499,https://awards.acm.org/conference-best-paper,,https://doi.org/10.1145/3178487.3178499,,ACM Conference Best Paper Awards 2018 and DBLP DOI,https://awards.acm.org/conference-best-paper,official_page,primary,verified,high,none,,PPOPP-T99,uncertain_misc_parallel_algorithms,needs_review,milestone,yes,,,
PPoPP-2019-A01,PPoPP,PPoPP,2019,complete,Best Paper Candidate,best_paper,Candidate,Lightweight hardware transactional memory profiling,Qingsen Wang|Pengfei Su|Milind Chabbi|Xu Liu,PPoPP-2019-P0015,10.1145/3293883.3295728,https://ppopp19.sigplan.org/program/program-PPoPP-2019,,https://doi.org/10.1145/3293883.3295728,,SIGPLAN2019 Best Paper Candidates session,https://ppopp19.sigplan.org/program/program-PPoPP-2019,official_page,primary,verified,high,none,,PPOPP-T01,scalable_synchronization_and_concurrent_data_structures,concurrency|synchronization,milestone,yes,,,candidate only
PPoPP-2019-A02,PPoPP,PPoPP,2019,complete,Best Paper Candidate,best_paper,Candidate,A pattern based algorithmic autotuner for graph processing on GPUs,Ke Meng|Jiajia Li|Guangming Tan|Ninghui Sun,PPoPP-2019-P0016,10.1145/3293883.3295716,https://ppopp19.sigplan.org/program/program-PPoPP-2019,,https://doi.org/10.1145/3293883.3295716,,SIGPLAN2019 Best Paper Candidates session,https://ppopp19.sigplan.org/program/program-PPoPP-2019,official_page,primary,verified,high,none,,PPOPP-T05,irregular_graph_and_search_algorithms,irregular_graph|search,milestone,yes,,,candidate only
PPoPP-2019-A03,PPoPP,PPoPP,2019,complete,Best Paper Candidate,best_paper,Candidate,Provably and practically efficient granularity control,Umut A. Acar|Vitaly Aksenov|Arthur Charguéraud|Michael Rainey,PPoPP-2019-P0017,10.1145/3293883.3295725,https://ppopp19.sigplan.org/program/program-PPoPP-2019,,https://doi.org/10.1145/3293883.3295725,,SIGPLAN2019 Best Paper Candidates session,https://ppopp19.sigplan.org/program/program-PPoPP-2019,official_page,primary,verified,high,none,,PPOPP-T99,uncertain_misc_parallel_algorithms,needs_review,milestone,yes,,,candidate only
PPoPP-2019-A04,PPoPP,PPoPP,2019,complete,Best Paper Candidate,best_paper,Candidate,A coordinated tiling and batching framework for efficient GEMM on GPUs,Xiuhong Li|Yun Liang|Shengen Yan|Jia Liancheng|Yinghan Li,PPoPP-2019-P0018,10.1145/3293883.3295734,https://ppopp19.sigplan.org/program/program-PPoPP-2019,,https://doi.org/10.1145/3293883.3295734,,SIGPLAN2019 Best Paper Candidates session,https://ppopp19.sigplan.org/program/program-PPoPP-2019,official_page,primary,verified,high,none,,PPOPP-T07,sparse_tensor_stencil_and_linear_algebra_kernels,numeric_kernel|sparse_or_tensor,milestone,yes,,,candidate only
PPoPP-2019-A05,PPoPP,PPoPP,2019,complete,Best Paper Award,best_paper,Winner,Lightweight hardware transactional memory profiling,Qingsen Wang|Pengfei Su|Milind Chabbi|Xu Liu,PPoPP-2019-P0015,10.1145/3293883.3295728,https://www.acm.org/conferences/best-paper-awards-2019,https://dl.acm.org/doi/proceedings/10.1145/3293883,https://doi.org/10.1145/3293883.3295728,https://www.wm.edu/as/computerscience/about-contactus/news/news-archive/2018-19/best-paper-at-ppopp.php,ACM Best Paper Awards 2019 archive; W&M secondary corroboration,https://www.acm.org/conferences/best-paper-awards-2019,official_page,primary,verified,medium,none,"PPoPP 2019 program confirms candidates and award slot; ACM 2019 awards archive was reported by award-source agent as canonical winner source, but parent direct fetch returned 403/Cloudflare. W&M remains secondary corroboration.",PPOPP-T01,scalable_synchronization_and_concurrent_data_structures,concurrency|synchronization,none,maybe,,,Resolved during second wave on 2026-06-27 using ACM 2019 awards archive evidence from award-source agent plus W&M secondary corroboration; confidence kept medium because parent direct fetch of ACM archive was access-blocked.
PPoPP-2020-A01,PPoPP,PPoPP,2020,complete,Best Paper Award,best_paper,Winner,Non-Blocking Interpolation Search Trees with Doubly-Logarithmic Running Time,Trevor Brown|Aleksandar Prokopec|Dan Alistarh,PPoPP-2020-P0020,10.1145/3332466.3374542,https://ppopp20.sigplan.org/,,https://doi.org/10.1145/3332466.3374542,,PPoPP 2020 official homepage,https://ppopp20.sigplan.org/,official_page,primary,verified,high,none,,PPOPP-T01,scalable_synchronization_and_concurrent_data_structures,concurrency|synchronization,milestone,yes,Official Best Paper Award; citation/adoption impact not audited in this wave.,,Filled during second wave from official homepage on 2026-06-27.
PPoPP-2021-A01,PPoPP,PPoPP,2021,complete,Best Paper Award,best_paper,Winner,Synthesizing Optimal Collective Algorithms,Zixian Cai|Zhengyang Liu|Saeed Maleki|Madan Musuvathi|Todd Mytkowicz|Jacob Nelson|Olli Saarikivi,PPoPP-2021-P0005,10.1145/3437801.3441620,https://ppopp21.sigplan.org/,,https://doi.org/10.1145/3437801.3441620,,PPoPP 2021 official homepage,https://ppopp21.sigplan.org/,official_page,primary,verified,high,corrected_second_wave,First-wave row incorrectly listed NBR as Best Paper; official homepage names Synthesizing Optimal Collective Algorithms.,PPOPP-T09,distributed_deep_learning_training_systems,distributed_training|dnn,milestone,yes,Official Best Paper Award; citation/adoption impact not audited in this wave.,,Corrected during second wave from official homepage on 2026-06-27.
