award_id,venue_id,venue_name,year,year_status,award_name,award_category,award_rank,title,authors,paper_id,doi,official_url,proceedings_url,publisher_url,secondary_url,source_title,source_url,source_type,source_priority,verification_status,confidence,conflict_status,conflict_notes,topic_primary,topic_secondary,topic_tags,representative_role,milestone_candidate,impact_notes,missing_fields,notes
FPT-2016-A01,FPT,FPT,2016,complete,FPT Best Paper Awards,best_paper,Winner,"High Density, Low Energy, Magnetic Tunnel Junction Based Block RAMs for Memory-rich FPGAs",Kosuke Tatsumura|Sadegh Yazdanshenas|Vaughn Betz,FPT-2016-P0004,10.1109/FPT.2016.7929181,https://tcfpga.org/books/community-awards/page/fpt-best-paper-awards,https://doi.org/10.1109/FPT.2016.7929181,,https://dblp.org/db/conf/fpt/fpt2016.html,FPT Best Paper Awards | TCFPGA,https://tcfpga.org/books/community-awards/page/fpt-best-paper-awards,official_page,primary,verified,high,none,,T06/T10,memory_dataflow_network,memory,milestone,yes,2016 FPT Best Paper; memory-rich FPGA architecture signal.,,
FPT-2017-A01,FPT,FPT,2017,complete,FPT Best Paper Awards,best_paper,Winner,Synthesis of Program Binaries into FPGA Accelerators with Runtime Dependence Validation,Shaoyi Cheng|Qijing Huang|John Wawrzynek,FPT-2017-P0013,10.1109/FPT.2017.8280126,https://tcfpga.org/books/community-awards/page/fpt-best-paper-awards,https://doi.org/10.1109/FPT.2017.8280126,,https://dblp.org/db/conf/fpt/fpt2017.html,FPT Best Paper Awards | TCFPGA,https://tcfpga.org/books/community-awards/page/fpt-best-paper-awards,official_page,primary,verified,high,none,,T06/T11,other_fpt,field_programmable_technology,milestone,yes,2017 FPT Best Paper; binary-to-accelerator and runtime validation route.,,
FPT-2018-A01,FPT,FPT,2018,complete,FPT Best Paper Awards,best_paper,Winner,Dither NN: An Accurate Neural Network with Dithering for Low Bit-Precision Hardware,Kota Ando|Kodai Ueyoshi|Yuka Oba|Kazutoshi Hirose|Ryota Uematsu|Takumi Kudo|Masayuki Ikebe|Tetsuya Asai|Shinya Takamaeda-Yamazaki|Masato Motomura,FPT-2018-P0005,10.1109/FPT.2018.00013,https://tcfpga.org/books/community-awards/page/fpt-best-paper-awards,https://doi.org/10.1109/FPT.2018.00013,,https://dblp.org/db/conf/fpt/fpt2018.html,FPT Best Paper Awards | TCFPGA,https://tcfpga.org/books/community-awards/page/fpt-best-paper-awards,official_page,primary,verified,high,none,,T02/T05,ml_dnn_transformer_low_precision,neural|low_bit,milestone,yes,2018 FPT Best Paper; low-bit neural-network acceleration route.,,
FPT-2019-A01,FPT,FPT,2019,complete,FPT Best Paper Awards,best_paper,Winner,Partitioning FPGA-Optimized Systolic Arrays for Fun and Profit,Long Chung Chan|Gurshaant Malik|Nachiket Kapre,FPT-2019-P0017,10.1109/ICFPT47387.2019.00025,https://tcfpga.org/books/community-awards/page/fpt-best-paper-awards,https://doi.org/10.1109/ICFPT47387.2019.00025,,https://dblp.org/db/conf/fpt/icfpt2019.html,FPT Best Paper Awards | TCFPGA,https://tcfpga.org/books/community-awards/page/fpt-best-paper-awards,official_page,primary,verified,high,none,,T06/T12,reconfigurable_architecture,systolic,milestone,yes,2019 FPT Best Paper; systolic-array partitioning route.,,
FPT-2020-A99,FPT,FPT,2020,missing,FPT Best Paper Awards,best_paper,Missing,FPT 2020 Best Paper winner not found in TCFPGA award ledger during this run,,,,https://tcfpga.org/books/community-awards/page/fpt-best-paper-awards,,,,FPT Best Paper Awards | TCFPGA,https://tcfpga.org/books/community-awards/page/fpt-best-paper-awards,official_page,primary,needs_review,medium,none,,T11,coverage_gap,missing_awards|coverage,none,no,,authors|paper_id|doi,"TCFPGA FPT award page jumps from 2021 to 2019; do not infer a 2020 winner or no-winner without another official source. Marker title is a coverage marker, not an award-paper title; actual winner title remains unverified."
FPT-2021-A01,FPT,FPT,2021,complete,FPT Best Paper Awards,best_paper,Winner,A High-Performance and Flexible FPGA Inference Accelerator for Decision Forests Based on Prior Feature Space Partitioning,Thiem Van Chu|Ryuichi Kitajima|Kazushi Kawamura|Jaehoon Yu|Masato Motomura,FPT-2021-P0001,10.1109/ICFPT52863.2021.9609699,https://tcfpga.org/books/community-awards/page/fpt-best-paper-awards,https://doi.org/10.1109/ICFPT52863.2021.9609699,,https://dblp.org/db/conf/fpt/icfpt2021.html,FPT Best Paper Awards | TCFPGA,https://tcfpga.org/books/community-awards/page/fpt-best-paper-awards,official_page,primary,verified,high,none,,T02/T05,ml_dnn_transformer_low_precision,inference,milestone,yes,2021 FPT Best Paper; non-DNN ML inference accelerator route.,,
FPT-2022-A01,FPT,FPT,2022,complete,FPT Best Paper Awards,best_paper,Winner,Cloning the Unclonable: Physically Cloning an FPGA RO PUF,Hayden Cook|Jonathan Thompson|Zephram Tripp|Brad Hutchings|Jeffrey Goeders,FPT-2022-P0055,10.1109/ICFPT56656.2022.9974597,https://tcfpga.org/books/community-awards/page/fpt-best-paper-awards,https://doi.org/10.1109/ICFPT56656.2022.9974597,,https://dblp.org/db/conf/fpt/icfpt2022.html,FPT Best Paper Awards | TCFPGA,https://tcfpga.org/books/community-awards/page/fpt-best-paper-awards,official_page,primary,verified,high,none,,T05/T12,security_crypto_dependability,puf,milestone,yes,2022 FPT Best Paper; FPGA security/PUF route.,,
FPT-2023-A01,FPT,FPT,2023,complete,FPT Best Paper Awards,best_paper,Winner,PolyLUT: Learning Piecewise Polynomials for Ultra-Low Latency FPGA LUT-based Inference,Marta Andronic|George A. Constantinides,FPT-2023-P0007,10.1109/ICFPT59805.2023.00012,https://tcfpga.org/books/community-awards/page/fpt-best-paper-awards,https://doi.org/10.1109/ICFPT59805.2023.00012,,https://dblp.org/db/conf/fpt/icfpt2023.html,FPT Best Paper Awards | TCFPGA,https://tcfpga.org/books/community-awards/page/fpt-best-paper-awards,official_page,primary,verified,high,none,,T02/T05,ml_dnn_transformer_low_precision,inference,milestone,yes,2023 FPT Best Paper; LUT-native neural inference route.,,
FPT-2023-A02,FPT,FPT,2023,complete,FPT Best Paper Awards,best_paper,Winner,Into the Third Dimension: Architecture Exploration Tools for 3D Reconfigurable Acceleration Devices,Andrew Boutros|Fatemehsadat Mahmoudi|Amin Mohaghegh|Stephen More|Vaughn Betz,FPT-2023-P0022,10.1109/ICFPT59805.2023.00027,https://tcfpga.org/books/community-awards/page/fpt-best-paper-awards,https://doi.org/10.1109/ICFPT59805.2023.00027,,https://dblp.org/db/conf/fpt/icfpt2023.html,FPT Best Paper Awards | TCFPGA,https://tcfpga.org/books/community-awards/page/fpt-best-paper-awards,official_page,primary,verified,high,none,,T03/T04,robotics_slam_vision_edge,3d,milestone,yes,2023 FPT Best Paper; 3D reconfigurable architecture exploration route.,,
FPT-2024-A01,FPT,FPT,2024,complete,FPT Best Paper Awards,best_paper,Winner,GraphNoC: Graph Neural Networks for Application-Specific FPGA NoC Performance Prediction,Gurshaant Malik|Nachiket Kapre,FPT-2024-P0029,10.1109/ICFPT64416.2024.11113460,https://tcfpga.org/books/community-awards/page/fpt-best-paper-awards,https://doi.org/10.1109/ICFPT64416.2024.11113460,,https://dblp.org/db/conf/fpt/icfpt2024.html,FPT Best Paper Awards | TCFPGA,https://tcfpga.org/books/community-awards/page/fpt-best-paper-awards,official_page,primary,verified,high,none,,T06/T10,memory_dataflow_network,noc|gnn|performance_prediction|cad,milestone,yes,2024 FPT Best Paper; GNN-assisted FPGA NoC performance prediction. Long-term impact remains partial.,,TCFPGA lists this as the 2024 FPT Best Paper; annual FPT 2024 page/front matter confirmation was not found in this run. TCFPGA official FPT Best Paper ledger confirms winner; annual FPT page/proceedings front matter second confirmation remains a missing source.
FPT-2025-A01,FPT,FPT,2025,complete,FPT Best Paper Awards,best_paper,Winner,JEDI-Linear: Fast and Efficient Graph Neural Networks for Jet Tagging on FPGAs,Zhiqiang Que|Chang Sun|Sudarshan Paramesvaran|Emyr Clement|Katerina Karakoulaki|Christopher Brown|Lauri Laatu|Arianna Cox|Alexander Tapper|Wayne Luk|Maria Spiropulu,FPT-2025-P0020,10.1109/icfpt67023.2025.00030,https://tcfpga.org/books/community-awards/page/fpt-best-paper-awards,https://doi.org/10.1109/icfpt67023.2025.00030,https://ieeexplore.ieee.org/document/11363785/,https://dblp.org/db/conf/fpt/icfpt2025.html,FPT Best Paper Awards | TCFPGA,https://tcfpga.org/books/community-awards/page/fpt-best-paper-awards,official_page,primary,verified,high,none,,T02/T05,ml_dnn_transformer_low_precision,neural,milestone,yes,2025 FPT Best Paper; HEP GNN inference on FPGA.,,TCFPGA lists this as the 2025 FPT Best Paper; annual FPT 2025 page/front matter confirmation was not found in this run. TCFPGA official FPT Best Paper ledger confirms winner; annual FPT page/proceedings front matter second confirmation remains a missing source.
FPT-2026-A99,FPT,FPT,2026,partial,FPT 2026 Best Paper Awards,best_paper,Pending,FPT 2026 award winners not public as of 2026-06-27,,,,https://fpt2026.uark.edu/,,,,FPT 2026 official website,https://fpt2026.uark.edu/,official_page,primary,needs_review,high,none,,T11,coverage_gap,partial|missing_awards,none,no,,authors|paper_id|doi,"Normal 2026 partial: Conference Track notification is 2026-08-21, Journal Track notification is 2026-08-31, and the conference is scheduled for 2026-12-07 to 2026-12-10. Marker title is a coverage marker, not an award-paper title; actual winner title remains unverified."
