award_id,venue_id,venue_name,year,year_status,award_name,award_category,award_rank,title,authors,paper_id,doi,official_url,proceedings_url,publisher_url,secondary_url,source_title,source_url,source_type,source_priority,verification_status,confidence,conflict_status,conflict_notes,topic_primary,topic_secondary,topic_tags,representative_role,milestone_candidate,impact_notes,missing_fields,notes
VLSI-2016-A01,VLSI,VLSI,2016,complete,Best Student Paper Award (Technology),best_student_paper,Winner,First demonstration of InGaAs/SiGe CMOS inverters and dense SRAM arrays on Si using selective epitaxy and standard FEOL processes,L. Czornomaz|V. Djara|V. Deshpande|E. O'Connor|M. Sousa|D. Caimi|K. Cheng|J. Fompeyrine,VLSI-2016-P0144,10.1109/vlsit.2016.7573391,https://www.vlsisymposium.org/best-student-paper-award-winners/,https://doi.org/10.1109/vlsit.2016.7573391,https://doi.org/10.1109/vlsit.2016.7573391,,VLSI Best Student Paper Award Winners,https://www.vlsisymposium.org/best-student-paper-award-winners/,official_page,primary,verified,high,none,,T04/T06/T10/T12,processors_power_soc_infrastructure,gaa,award_signal,maybe,Official VLSI award-source signal only; long-term impact requires separate citation/adoption audit.,,Second-wave 2026-06-27: replaces previous wrong-year row from 2004-era official list; paper_id aligned to local DOI row.
VLSI-2016-A02,VLSI,VLSI,2016,complete,Best Student Paper Award (Circuits),best_student_paper,Winner,A BJT-based temperature-to-digital converter with +/-60mK (3 sigma) inaccuracy from -70C to 125C in 160nm CMOS,Bahman Yousefzadeh|Sining Pan|Koen A. A. Makinwa,VLSI-2016-P0063,10.1109/vlsic.2016.7573531,https://www.vlsisymposium.org/best-student-paper-award-winners/,https://doi.org/10.1109/vlsic.2016.7573531,https://doi.org/10.1109/vlsic.2016.7573531,,VLSI Best Student Paper Award Winners,https://www.vlsisymposium.org/best-student-paper-award-winners/,official_page,primary,needs_review,medium,title_variant_needs_review,Official award page and local DOI title have compatible but not identical normalized title text.,T11/T12,bio_security_quantum_other,bio_security_quantum_other,award_signal,maybe,Official VLSI award-source signal only; long-term impact requires separate citation/adoption audit.,,Second-wave 2026-06-27: replaces previous wrong-year row from 2004-era official list; keep needs_review for title variant until final program/PDF is checked.
VLSI-2017-A03,VLSI,VLSI,2017,complete,Best Demo Paper Award,artifact_award,Winner,320×240 back-illuminated 10μm CAPD pixels for high speed modulation Time-of-Flight CMOS image sensor,Yuichi Kato,VLSI-2017-P0005,10.23919/vlsic.2017.8008511,https://archive.vlsisymposium.org/24web/best-demo-paper-award/,https://doi.org/10.23919/vlsic.2017.8008511,https://doi.org/10.23919/vlsic.2017.8008511,,VLSI Best Demo Paper Award Winners,https://archive.vlsisymposium.org/24web/best-demo-paper-award/,official_page,primary,verified,high,none,,T03/T04/T11,edge_vision_robotics_sensors,image_sensor|sensor,none,maybe,Official VLSI award-source signal only; long-term impact requires separate citation/adoption audit.,,Recipient=Yuichi Kato; archive page covers winners through 2024.
VLSI-2017-A04,VLSI,VLSI,2017,complete,Best Student Paper Award (Circuits),best_student_paper,Winner,"A 10.1” 56-Channel, 183 uW/electrode, 0.73 mm2/sensor High SNR 3D Hover Sensor Based on Enhanced Signal Refining and Fine Error Calibrating Techniques","Yeunhee Huh 1 , Sung-Wan Hong 2 , Sang-Hui Park 1 , Jun-Suk Bang 1 , Changbyung Park 2 Sungsoo Park 2 , Hui-Dong Gwon 1 , Se-Un Shin 1 , Hongsuk Shin 1 , Sung-Won Choi 1 , Yong-Min Ju 1 , Ji-Hun Lee 1 , Gyu-Hyeong Cho 1",VLSI-2017-P0022,10.23919/vlsic.2017.8008519,https://www.vlsisymposium.org/best-student-paper-award-winners/,https://doi.org/10.23919/vlsic.2017.8008519,https://doi.org/10.23919/vlsic.2017.8008519,,Former VLSI Best Student Paper Award Winners,https://www.vlsisymposium.org/best-student-paper-award-winners/,official_page,primary,verified,high,none,,T06/T10/T12,chiplets_3d_packaging_interconnect,3d_,none,maybe,Official VLSI award-source signal only; long-term impact requires separate citation/adoption audit.,,"Recipient=Yeunhee Huh; Affiliation=1 KAIST, 2 Samsung Electronics Co., Ltd."
VLSI-2017-A05,VLSI,VLSI,2017,complete,Best Student Paper Award (Technology),best_student_paper,Winner,"The First GeSn FinFET on a Novel GeSnOI Substrate Achieving Lowest S of 79 mV/decade and Record High G m,int of 807 μS/μm for GeSn P-FETs","Dian Lei 1 , Kwang Hong Lee 2 , Shuyu Bao 2,3 , Wei Wang1, Saeid Masudy-Panah 1 , Sachin Yadav 1 , Annie Kumar 1 , Yuan Dong 1 , Yuye Kang 1 , Shengqiang Xu 1 , Ying Wu 1 , Yi-Chiau Huang 4 , Hua Chung 4 , Schubert S. Chu 4 , Satheesh Kuppurao 4 , Chuan Seng Tan 2,3 , Xiao Gong 1 and Yee-Chia Yeo 1",VLSI-2017-P0228,10.23919/vlsit.2017.7998170,https://www.vlsisymposium.org/best-student-paper-award-winners/,https://doi.org/10.23919/vlsit.2017.7998170,https://doi.org/10.23919/vlsit.2017.7998170,,Former VLSI Best Student Paper Award Winners,https://www.vlsisymposium.org/best-student-paper-award-winners/,official_page,primary,verified,high,none,,T10/T12,devices_memory_scaling,fet|finfet,none,maybe,Official VLSI award-source signal only; long-term impact requires separate citation/adoption audit.,,"Recipient=Dian Lei; Affiliation=1 National University of Singapore, 2 Singapore MIT Alliance for Research and Technology, 3 Nanyang Technological University, 4 Applied Materials Second-wave 2026-06-27: paper_id/DOI aligned to local DOI row VLSI-2017-P0228."
VLSI-2017-A37,VLSI,VLSI,2017,complete,Best Demo Paper Award,best_demo_paper,Winner,"Towards a fully integrated, wirelessly powered, and ordinarily equipped on-lens system for successive dry eye syndrome diagnosis",recipient listed on official Best Demo page; full authors in proceedings row,VLSI-2017-P0230,10.23919/vlsit.2017.7998210,https://archive.vlsisymposium.org/25web/best-demo-paper-award/,https://doi.org/10.23919/vlsit.2017.7998210,https://doi.org/10.23919/vlsit.2017.7998210,,VLSI Best Demo Paper Award Winners,https://archive.vlsisymposium.org/25web/best-demo-paper-award/,official_page,primary,verified,high,none,,T11/T12,bio_security_quantum_other,bio_security_quantum_other,award_signal,maybe,Official VLSI award-source signal only; long-term impact requires separate citation/adoption audit.,,Second-wave 2026-06-27: missing Best Demo row added from official archive page.
VLSI-2018-A06,VLSI,VLSI,2018,complete,Best Demo Paper Award,artifact_award,Winner,"Next-generation Fundus Camera with Full Color Image Acquisition in 0-lx Visible Light by 1.12-micron Square Pixel, 4K, 30-fps BSI CMOS Image Sensor with Advanced NIR Multi-spectral Imaging System",Hirofumi Sumi,VLSI-2018-P0173,10.1109/vlsit.2018.8510698,https://archive.vlsisymposium.org/24web/best-demo-paper-award/,https://doi.org/10.1109/vlsit.2018.8510698,https://doi.org/10.1109/vlsit.2018.8510698,,VLSI Best Demo Paper Award Winners,https://archive.vlsisymposium.org/24web/best-demo-paper-award/,official_page,primary,verified,high,none,,T03/T04/T11,edge_vision_robotics_sensors,image_sensor|sensor,none,maybe,Official VLSI award-source signal only; long-term impact requires separate citation/adoption audit.,,Recipient=Hirofumi Sumi; archive page covers winners through 2024.
VLSI-2018-A07,VLSI,VLSI,2018,complete,Best Student Paper Award (Circuits),best_student_paper,Winner,Navion: A Fully Integrated Energy-Efficient Visual-Inertial Odometry Accelerator for Autonomous Navigation of Nano Drones,"Amr Suleiman, Zhengdong Zhang, Luca Carlone, Sertac Karaman and Vivienne Sze",VLSI-2018-P0104,10.1109/vlsic.2018.8502279,https://www.vlsisymposium.org/best-student-paper-award-winners/,https://doi.org/10.1109/vlsic.2018.8502279,https://doi.org/10.1109/vlsic.2018.8502279,,Former VLSI Best Student Paper Award Winners,https://www.vlsisymposium.org/best-student-paper-award-winners/,official_page,primary,verified,high,none,,T01/T02/T05/T06,ai_accelerators_compute_soc,accelerator,milestone,yes,Official VLSI award-source signal only; long-term impact requires separate citation/adoption audit.,,"Recipient=Amr Suleiman; Affiliation=Massachusetts Institute of Technology, USA"
VLSI-2018-A08,VLSI,VLSI,2018,complete,Best Student Paper Award (Technology),best_student_paper,Winner,"Half-threshold bias Ioff reduction down to nA range of thermally and electrically stable high-performance integrated OTS selector, obtained by Se enrichment and N-doping of thin GeSe layers","N. Avasarala, G.L. Donadio, T. Witters, K. Opsomer, B. Govoreanu, A. Fantini, S. Clima, H. Oh, S. Kundu, W. Devulder, M.H. van der Veen, J. Van Houdt, M. Heyns, L. Goux and G. S. Kar",VLSI-2018-P0151,10.1109/vlsit.2018.8510680,https://www.vlsisymposium.org/best-student-paper-award-winners/,https://doi.org/10.1109/vlsit.2018.8510680,https://doi.org/10.1109/vlsit.2018.8510680,,Former VLSI Best Student Paper Award Winners,https://www.vlsisymposium.org/best-student-paper-award-winners/,official_page,primary,verified,high,none,,T12,analog_rf_wireline_data_converter,rf,none,maybe,Official VLSI award-source signal only; long-term impact requires separate citation/adoption audit.,,"Recipient=Naga Sruti Avasarala; Affiliation=imec and KU Leuven, Belgium"
VLSI-2019-A09,VLSI,VLSI,2019,complete,Best Demo Paper Award,artifact_award,Winner,First Demonstration of A Fully-Printed MoS2 RRAM on Flexible Substrate with Ultra-Low Switching Voltage and Its Application as Electronic Synapse,Feng Xuewei,VLSI-2019-P0188,10.23919/vlsit.2019.8776520,https://archive.vlsisymposium.org/24web/best-demo-paper-award/,https://doi.org/10.23919/vlsit.2019.8776520,https://doi.org/10.23919/vlsit.2019.8776520,,VLSI Best Demo Paper Award Winners,https://archive.vlsisymposium.org/24web/best-demo-paper-award/,official_page,primary,verified,high,none,,T11/T12,bio_security_quantum_other,bio_security_quantum_other,none,maybe,Official VLSI award-source signal only; long-term impact requires separate citation/adoption audit.,,Recipient=Feng Xuewei; archive page covers winners through 2024. Second-wave 2026-06-27: paper_id/DOI aligned to local DOI row VLSI-2019-P0188.
VLSI-2019-A10,VLSI,VLSI,2019,complete,Best Student Paper Award (Circuits),best_student_paper,Winner,A CMOS Temperature Stabilized 2-Dimensional Mechanical Stress Sensor with 11-bit Resolution,"U. Nurmetov*, T. Fritz**, E. Muellner**, C. Dougherty**, F. Kreupl* and R. Brederlow**",VLSI-2019-P0086,10.23919/vlsic.2019.8778132,https://www.vlsisymposium.org/best-student-paper-award-winners/,https://doi.org/10.23919/vlsic.2019.8778132,https://doi.org/10.23919/vlsic.2019.8778132,,Former VLSI Best Student Paper Award Winners,https://www.vlsisymposium.org/best-student-paper-award-winners/,official_page,primary,verified,high,none,,T03/T04/T11,edge_vision_robotics_sensors,sensor,milestone,yes,Official VLSI award-source signal only; long-term impact requires separate citation/adoption audit.,,"Recipient=Umidjon Nurmetov; Affiliation=*Technical Univ. of Munich and **Texas Instruments Freising, Germany"
VLSI-2019-A11,VLSI,VLSI,2019,complete,Best Student Paper Award (Technology),best_student_paper,Winner,Energy-Efficient Continual Learning in Hybrid Supervised-Unsupervised Neural Networks with PCM Synapses,"S. Bianchi*, I. Muñoz-Martin*, G. Pedretti*, O. Melnic*, S. Ambrogio** and D. Ielmini*",VLSI-2019-P0178,10.23919/vlsit.2019.8776559,https://www.vlsisymposium.org/best-student-paper-award-winners/,https://doi.org/10.23919/vlsit.2019.8776559,https://doi.org/10.23919/vlsit.2019.8776559,,Former VLSI Best Student Paper Award Winners,https://www.vlsisymposium.org/best-student-paper-award-winners/,official_page,primary,verified,high,none,,T01/T02/T05/T06,ai_accelerators_compute_soc,neural,milestone,yes,Official VLSI award-source signal only; long-term impact requires separate citation/adoption audit.,,"Recipient=Stefano Bianchi; Affiliation=*Politecnico di Milano, Italy and **IBM Research, USA"
VLSI-2019-A38,VLSI,VLSI,2019,complete,Best Demo Paper Award,best_demo_paper,Winner,Low-Power and ppm-Level Detection of Gas Molecules by Integrated Metal Nanosheets,recipient listed on official Best Demo page,,,https://archive.vlsisymposium.org/25web/best-demo-paper-award/,,,,VLSI Best Demo Paper Award Winners,https://archive.vlsisymposium.org/25web/best-demo-paper-award/,official_page,primary,needs_review,medium,duplicate_paper_id_candidates,Local corpus has both VLSI-2019-P0123 and VLSI-2019-P0208 with the same title; parent leaves paper_id blank.,,,,award_signal,maybe,Official VLSI award-source signal only; long-term impact requires separate citation/adoption audit.,paper_id,Second-wave 2026-06-27: official Best Demo row added but local paper_id alignment remains needs_review.
