workload_id,domain,workload_name,task_description,input_shape_or_dataset,core_kernels_or_stages,bottleneck_hypothesis,target_platforms,real_device_runnable,known_implementations,source_urls,verification_status,notes
WA-WL-3D-001,3dgs_neural_rendering,3DGS novel-view rendering,"Render trained 3D Gaussian scenes into RGB frames for novel-view synthesis, AR/VR or visualization.","Mip-NeRF 360; Tanks and Temples; DTU MVS; Blender/LLFF-style scenes; per-scene Gaussian primitive sets","frustum culling; 3D-to-2D projection; tile binning; depth sorting; alpha blending; framebuffer writeback","Frame time is often limited by tile-list imbalance, sorting length, repeated Gaussian parameter movement and alpha-blend work rather than dense FLOPs alone.","GPU; mobile GPU; FPGA; ASIC; edge SoC",runnable_unchecked,"GraphDeco gaussian-splatting; gsplat; GSCore; A-SSCC Gaussian Splats FPGA processor; GCC; 3DGauCIM","https://arxiv.org/abs/2308.04079; https://github.com/graphdeco-inria/gaussian-splatting; https://github.com/nerfstudio-project/gsplat; https://asplos-conference.org/asplos2024/main-program/abstracts/index.html; https://pure.kaist.ac.kr/en/publications/a-666-fps-high-quality-gaussian-splats-rendering-fpga-processor-w/; https://arxiv.org/abs/2507.15300",verified,"Inventory row aggregates WORKLOAD-3D-001 and ASPLOS/MICRO/A-SSCC venue evidence; no implementation was run."
WA-WL-3D-002,3dgs_neural_rendering,NeRF and Instant-NGP inference,"Render neural radiance fields through ray sampling, encoding lookup, MLP evaluation and volume compositing.","Calibrated multi-view image sets; Instant-NGP/NeRF scenes; Nerfstudio project data pipelines","ray generation; occupancy-guided sampling; positional or hash-grid encoding; small MLP; volume rendering/compositing","Bottleneck can shift between sample count, hash-grid lookup bandwidth, small-MLP utilization and volume compositing; GPU tensor throughput alone is not enough to explain performance.","GPU; FPGA; ASIC; PIM/CIM prototype; mobile GPU",runnable_unchecked,"Instant-NGP; Nerfstudio; MobileNeRF; Booth-NeRF; RT-NeRF; Hardware Acceleration of Neural Graphics; NeuRex","https://arxiv.org/abs/2201.05989; https://github.com/nerfstudio-project/nerfstudio; https://docs.nerf.studio/; https://openaccess.thecvf.com/content/CVPR2023/html/Chen_MobileNeRF_Exploiting_the_Polygon_Rasterization_Pipeline_for_Efficient_Neural_Field_CVPR_2023_paper.html; https://arxiv.org/abs/2303.05735; https://doi.org/10.1109/ASP-DAC58780.2024.10473990",verified,"Use as neural-rendering workload family; exact kernels differ by representation."
WA-WL-3D-003,3dgs_neural_rendering,3DGS training and large-scene offload,"Train or update Gaussian scenes where optimizer state, gradients and large primitive sets exceed comfortable GPU-memory limits.","3DGS training scenes; large city/VR scenes reported by ASPLOS 2026 rows; per-Gaussian parameters and optimizer state","forward rasterization; gradient accumulation; density control; optimizer update; CPU/host offload; sparsity-guided loading","Training can become memory-capacity and host-device pipeline limited; throughput claims must record scene size, quality metrics and offload traffic.","GPU; CPU+GPU; CXL/tiered memory candidate; FPGA/ASIC training accelerators",runnable_unchecked,"LightGaussian; CLM-GS; GS-Scale; BOA-3DGS; BalanceGS; Garnet","https://arxiv.org/abs/2311.17245; https://github.com/nyu-systems/CLM-GS; https://github.com/SNU-ARC/GS-Scale.git; https://www.aspdac.com/aspdac2026/program/program-abstract.html#3A-5; https://www.aspdac.com/aspdac2026/program/program-abstract.html#6B-5",needs_review,"Recent 2025-2026 rows are frontier signals; code URLs were not executed."
WA-WL-3D-004,3dgs_neural_rendering,Gaussian-map SLAM and online neural mapping,"Use Gaussian or neural-scene representations as mutable robot/AR maps for tracking, rendering and map update.","RGB-D or monocular SLAM sequences; TUM RGB-D; ScanNet-style data; SplaTAM and Gaussian Splatting SLAM examples","camera tracking; keyframe selection; Gaussian insertion/pruning; differentiable rendering; map expansion; pose optimization","Average FPS is insufficient because tracking/update tail latency and map-state growth affect closed-loop use.","GPU; edge GPU; FPGA/ASIC SLAM accelerators; mobile SoC",runnable_unchecked,"SplaTAM; Gaussian Splatting SLAM; SGS-SLAM; GauSPU; AGS; RTGS; REACT3D","https://github.com/spla-tam/SplaTAM; https://spla-tam.github.io/; https://arxiv.org/abs/2312.06741; https://arxiv.org/abs/2402.03246; https://doi.org/10.1145/3760250.3762229; https://doi.org/10.1109/MICRO61859.2024.00114",verified,"No robot deployment was run; this row records runnable and paper-reported entry points only."
WA-WL-LLM-001,llm_serving,LLM prefill/decode serving,"Serve autoregressive Transformer requests by running prompt prefill followed by repeated decode iterations under latency and throughput constraints.","Prompt/generation traces; variable sequence lengths; chat/RAG/agent serving requests","tokenization boundary; QKV/GEMM; attention; MLP; sampling; KV cache update; request scheduler","Prefill is compute and attention-tile heavy, while decode often becomes weight/KV bandwidth and scheduling limited at small batch.","Datacenter GPU; CPU+GPU; NPU; FPGA; edge SoC",runnable_unchecked,"vLLM; TensorRT-LLM; SGLang; Orca; DistServe; Sarathi-Serve","https://github.com/vllm-project/vllm; https://docs.vllm.ai/; https://github.com/NVIDIA/TensorRT-LLM; https://github.com/sgl-project/sglang; https://www.usenix.org/conference/osdi22/presentation/yu; https://www.usenix.org/conference/osdi24/presentation/zhong-yinmin",verified,"Serving engines are publicly available but not installed or benchmarked here."
WA-WL-LLM-002,llm_serving,KV-cache and long-context state management,"Manage per-request KV state, prefix reuse and long-context memory under dynamic sequence lengths.","Long-context prompts; multi-turn sessions; RAG/prefix-sharing traces; 1M-token research rows","KV page/block allocation; KV read during decode; quant/dequant; prefix cache lookup; offload and prefetch","Capacity, fragmentation and bandwidth can cap concurrency before arithmetic throughput; page/block size and cache policy must be recorded.","GPU HBM; CPU DRAM; CXL memory; PIM/NDP; FPGA KV engine",runnable_unchecked,"vLLM/PagedAttention; KIVI; FlexGen; SGLang RadixAttention; PACT CXL/KV-cache rows","https://arxiv.org/abs/2309.06180; https://arxiv.org/abs/2402.02750; https://arxiv.org/abs/2303.06865; https://arxiv.org/abs/2312.07104; https://conferences.computer.org/pactpub25/pdfs/PACT2025-3gKGRwA9U4f6t0U4gWpYze/829500a001/829500a001.pdf",verified,"Use checked_date in artifact rows for specific code/tool status."
"WA-WL-LLM-003",llm_serving,"MoE, structured decoding and speculative generation","Handle irregular or multi-call LLM execution where routing, grammar constraints or draft-verify loops alter the normal decode path.","MoE models; structured JSON/schema decoding; agent/RAG language-model programs; speculative decoding traces","expert routing; dispatch/combine; top-k/top-p; finite-state decoding; draft generation; target verification","Kernel speedups may disappear if routing imbalance, communication, grammar checks or scheduler overhead dominate.","GPU clusters; CPU+GPU; NPU; serving runtime; FPGA research prototypes",needs_review,"Switch Transformer; Mixtral; SGLang; speculative decoding systems; TensorRT-LLM runtime optimizations","https://arxiv.org/abs/2101.03961; https://arxiv.org/abs/2401.04088; https://arxiv.org/abs/2312.07104; https://arxiv.org/abs/2302.01318; https://github.com/NVIDIA/TensorRT-LLM",verified,"Record model, router policy and runtime separately; do not merge with dense decode measurements."
WA-WL-ROB-001,robotics_edge_realtime,Visual/VIO SLAM edge pipeline,"Run visual, visual-inertial or RGB-D SLAM under sensor-rate and control-loop latency constraints.","EuRoC MAV; TUM RGB-D; KITTI odometry; camera+IMU streams","feature extraction; patch/optical-flow tracking; IMU preintegration; pose update; factor-graph optimization; loop closure","Tail latency and sparse small-matrix or graph updates can matter more than average front-end FPS.","CPU; embedded GPU; FPGA front-end; robot SoC",runnable_unchecked,"ORB-SLAM3; VINS-Mono; DSO; DROID-SLAM; SLAMBench2; SlimSLAM/SuperNoVA venue rows","https://github.com/UZ-SLAMLab/ORB_SLAM3; https://projects.asl.ethz.ch/datasets/euroc-mav/; https://github.com/pamela-project/slambench; https://arxiv.org/abs/1708.03852; https://arxiv.org/abs/1607.02565",verified,"No SLAM sequence was run; this row records benchmarkable workload shape."
"WA-WL-ROB-002",robotics_edge_realtime,"LiDAR, map and local planning workloads","Maintain point-cloud, voxel, ESDF/TSDF or occupancy state for localization, collision checking and planning.","KITTI LiDAR; FAST-LIO/LIO-SAM traces; OctoMap/Voxblox maps; local cost maps","deskew; point-cloud transform; nearest-neighbor lookup; k-d tree/octree/voxel update; ESDF query; collision check; trajectory rollout","Irregular state updates, random memory access and deadline-bound planning queries can dominate compute throughput.","CPU; embedded GPU; FPGA/SoC; NPU for learned perception",runnable_unchecked,"FAST-LIO2; LIO-SAM; OctoMap; Voxblox; OMPL; TrajOpt; MPPI implementations","https://arxiv.org/abs/2107.06829; https://arxiv.org/abs/2007.00258; https://doi.org/10.1007/s10514-012-9321-0; https://arxiv.org/abs/1611.03631; https://ompl.kavrakilab.org/",verified,"Map-query workload should be profiled with update/query distributions, not only total runtime."
WA-WL-ROB-003,robotics_edge_realtime,VLA and action-generation policy inference,"Generate robot actions from camera images, language goals and robot state using VLA, Transformer, diffusion or action-chunking policies.","Open X-Embodiment; DROID; BridgeData V2; LIBERO; robot camera+language+proprioception episodes","visual encoder; language/VLM fusion; autoregressive action tokens; action chunking; diffusion/flow denoising; policy head","Batch=1 latency, p99 jitter, action representation and power budget are more relevant than cloud serving throughput.","GPU/NPU edge SoC; robot workstation; FPGA safety/coproc candidate",runnable_unchecked,"RT-1; RT-2; OpenVLA; OpenVLA-OFT; Diffusion Policy; ACT; pi0","https://github.com/openvla/openvla; https://openvla.github.io/; https://github.com/moojink/openvla-oft; https://proceedings.mlr.press/v229/zitkovich23a.html; https://arxiv.org/abs/2303.04137; https://arxiv.org/abs/2304.13705",verified,"Model repositories are not evidence of deployability on a specific robot without running and logging hardware."
