paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
ISCA-2016-P0001,ISCA,ISCA,2016,complete,Future Vector Microprocessor Extensions for Data Aggregations,Timothy Hayes 0001|Oscar Palomar|Osman S. Unsal|Adrián Cristal|Mateo Valero,Main Program,,accepted_paper,10.1109/ISCA.2016.44,,https://doi.org/10.1109/ISCA.2016.44,,,https://dblp.org/rec/conf/isca/0001PUCV16,,https://doi.org/10.1109/ISCA.2016.44,,DBLP ISCA proceedings entry,https://doi.org/10.1109/ISCA.2016.44,paper,primary,verified,high,T10/T11,T08;T12,core|gpu|isa|microarchitecture,ISCA-CORE-GPU-MICROARCH,Core/GPU microarch,agent_provisional,"gpt-5.5 xhigh clustering subagent output on 2026-06-25; inclusion=CPU/GPU cores, ISA, branch/value prediction, coherence, consistency, register/cache microarchitecture; caveat=memory-system papers with explicit PIM/storage stay in MEM.",,,,,none,,,maybe,,DBLP key=conf/isca/0001PUCV16; pages=418-430
ISCA-2016-P0002,ISCA,ISCA,2016,complete,Production-Run Software Failure Diagnosis via Adaptive Communication Tracking,Mohammad Mejbah Ul Alam|Abdullah Muzahid,Main Program,,accepted_paper,10.1109/ISCA.2016.39,,https://doi.org/10.1109/ISCA.2016.39,,,https://dblp.org/rec/conf/isca/AlamM16,,https://doi.org/10.1109/ISCA.2016.39,,DBLP ISCA proceedings entry,https://doi.org/10.1109/ISCA.2016.39,paper,primary,verified,high,T12,T07;T10;T11,security|reliability|correctness|isolation,ISCA-SEC-RELIABILITY,Security/reliability,agent_provisional,"gpt-5.5 xhigh clustering subagent output on 2026-06-25; inclusion=side channels, RowHammer, ECC, reliability, memory safety, private compute, FHE/ZK/ORAM/TEE; caveat=taxonomy seed lacks explicit security topic; mapped to T12-adjacent.",,,,,none,,,maybe,,DBLP key=conf/isca/AlamM16; pages=354-366
ISCA-2016-P0003,ISCA,ISCA,2016,complete,Cnvlutin: Ineffectual-Neuron-Free Deep Neural Network Computing,Jorge Albericio|Patrick Judd|Tayler H. Hetherington|Tor M. Aamodt|Natalie D. Enright Jerger|Andreas Moshovos,Main Program,,accepted_paper,10.1109/ISCA.2016.11,,https://doi.org/10.1109/ISCA.2016.11,,,https://dblp.org/rec/conf/isca/AlbericioJHAJM16,,https://doi.org/10.1109/ISCA.2016.11,,DBLP ISCA proceedings entry,https://doi.org/10.1109/ISCA.2016.11,paper,primary,verified,high,T02/T05,T06;T07;T11,ml_accelerator|dnn|tensor|sparsity|quantization,ISCA-ML-ACCEL,ML accelerators,agent_provisional,"gpt-5.5 xhigh clustering subagent output on 2026-06-25; inclusion=CNN/DNN/GNN/recsys/tensor/NPU/TPU/MTIA, low precision, sparsity, quantization, model chips; caveat=LLM/Transformer/MoE/RAG rows go to LLM.",,,,,milestone,4,2016 data-dependent DNN acceleration anchor.,yes,,DBLP key=conf/isca/AlbericioJHAJM16; pages=1-13
ISCA-2016-P0004,ISCA,ISCA,2016,complete,Boosting Access Parallelism to PCM-Based Main Memory,Mohammad Arjomand|Mahmut T. Kandemir|Anand Sivasubramaniam|Chita R. Das,Main Program,,accepted_paper,10.1109/ISCA.2016.66,,https://doi.org/10.1109/ISCA.2016.66,,,https://dblp.org/rec/conf/isca/ArjomandKSD16,,https://doi.org/10.1109/ISCA.2016.66,,DBLP ISCA proceedings entry,https://doi.org/10.1109/ISCA.2016.66,paper,primary,verified,high,T10,T01;T06;T11;T12,memory|pim|storage|cache|data_movement,ISCA-MEM-PIM-STORAGE,Memory/PIM/storage,agent_provisional,"gpt-5.5 xhigh clustering subagent output on 2026-06-25; inclusion=memory hierarchy, cache/TLB/prefetch, DRAM/NVM/HBM/CXL, PIM/PNM, in/near-storage, data movement; caveat=LLM/RAG memory papers go to LLM when title/session says LLM/RAG.",,,,,none,,,maybe,,DBLP key=conf/isca/ArjomandKSD16; pages=695-706
ISCA-2016-P0005,ISCA,ISCA,2016,complete,Eyeriss: A Spatial Architecture for Energy-Efficient Dataflow for Convolutional Neural Networks,Yu-Hsin Chen|Joel S. Emer|Vivienne Sze,Main Program,,accepted_paper,10.1109/ISCA.2016.40,,https://doi.org/10.1109/ISCA.2016.40,,,https://dblp.org/rec/conf/isca/ChenES16,,https://doi.org/10.1109/ISCA.2016.40,,DBLP ISCA proceedings entry,https://doi.org/10.1109/ISCA.2016.40,paper,primary,verified,high,T02/T05,T06;T07;T11,ml_accelerator|dnn|tensor|sparsity|quantization,ISCA-ML-ACCEL,ML accelerators,agent_provisional,"gpt-5.5 xhigh clustering subagent output on 2026-06-25; inclusion=CNN/DNN/GNN/recsys/tensor/NPU/TPU/MTIA, low precision, sparsity, quantization, model chips; caveat=LLM/Transformer/MoE/RAG rows go to LLM.",,,,,milestone,5,2016 spatial/dataflow CNN accelerator anchor.,yes,,DBLP key=conf/isca/ChenES16; pages=367-379
ISCA-2016-P0006,ISCA,ISCA,2016,complete,LAP: Loop-Block Aware Inclusion Properties for Energy-Efficient Asymmetric Last Level Caches,Hsiang-Yun Cheng|Jishen Zhao|Jack Sampson|Mary Jane Irwin|Aamer Jaleel|Yu Lu|Yuan Xie 0001,Main Program,,accepted_paper,10.1109/ISCA.2016.19,,https://doi.org/10.1109/ISCA.2016.19,,,https://dblp.org/rec/conf/isca/ChengZSIJL016,,https://doi.org/10.1109/ISCA.2016.19,,DBLP ISCA proceedings entry,https://doi.org/10.1109/ISCA.2016.19,paper,primary,verified,high,T10,T01;T06;T11;T12,memory|pim|storage|cache|data_movement,ISCA-MEM-PIM-STORAGE,Memory/PIM/storage,agent_provisional,"gpt-5.5 xhigh clustering subagent output on 2026-06-25; inclusion=memory hierarchy, cache/TLB/prefetch, DRAM/NVM/HBM/CXL, PIM/PNM, in/near-storage, data movement; caveat=LLM/RAG memory papers go to LLM when title/session says LLM/RAG.",,,,,none,,,maybe,,DBLP key=conf/isca/ChengZSIJL016; pages=103-114
ISCA-2016-P0007,ISCA,ISCA,2016,complete,Exploiting Dynamic Timing Slack for Energy Efficiency in Ultra-Low-Power Embedded Systems,Hari Cherupalli|Rakesh Kumar 0002|John Sartori,Main Program,,accepted_paper,10.1109/ISCA.2016.64,,https://doi.org/10.1109/ISCA.2016.64,,,https://dblp.org/rec/conf/isca/Cherupalli0S16,,https://doi.org/10.1109/ISCA.2016.64,,DBLP ISCA proceedings entry,https://doi.org/10.1109/ISCA.2016.64,paper,primary,verified,high,T08/T10,T11;T12,datacenter|cloud|runtime|resource_scheduling,ISCA-DATACENTER-SYSTEMS,Datacenter/systems,agent_provisional,"gpt-5.5 xhigh clustering subagent output on 2026-06-25; inclusion=cloud/datacenter/runtime/resource scheduling, power/thermal/carbon, networking, industry systems; caveat=only used when title is system/runtime-level rather than memory/core-specific.",,,,,none,,,maybe,,DBLP key=conf/isca/Cherupalli0S16; pages=671-681
ISCA-2016-P0008,ISCA,ISCA,2016,complete,PRIME: A Novel Processing-in-Memory Architecture for Neural Network Computation in ReRAM-Based Main Memory,Ping Chi|Shuangchen Li|Cong Xu 0002|Tao Zhang 0032|Jishen Zhao|Yongpan Liu|Yu Wang 0002|Yuan Xie 0001,Main Program,,accepted_paper,10.1109/ISCA.2016.13,,https://doi.org/10.1109/ISCA.2016.13,,,https://dblp.org/rec/conf/isca/ChiLXZZLWX16,,https://doi.org/10.1109/ISCA.2016.13,,DBLP ISCA proceedings entry,https://doi.org/10.1109/ISCA.2016.13,paper,primary,verified,high,T02/T05,T06;T07;T11,ml_accelerator|dnn|tensor|sparsity|quantization,ISCA-ML-ACCEL,ML accelerators,agent_provisional,"gpt-5.5 xhigh clustering subagent output on 2026-06-25; inclusion=CNN/DNN/GNN/recsys/tensor/NPU/TPU/MTIA, low precision, sparsity, quantization, model chips; caveat=LLM/Transformer/MoE/RAG rows go to LLM.",,,,,none,,,maybe,,DBLP key=conf/isca/ChiLXZZLWX16; pages=27-39
ISCA-2016-P0009,ISCA,ISCA,2016,complete,ARM Virtualization: Performance and Architectural Implications,Christoffer Dall|Shih-Wei Li|Jin Tack Lim|Jason Nieh|Georgios Koloventzos,Main Program,,accepted_paper,10.1109/ISCA.2016.35,,https://doi.org/10.1109/ISCA.2016.35,,,https://dblp.org/rec/conf/isca/DallLLNK16,,https://doi.org/10.1109/ISCA.2016.35,,DBLP ISCA proceedings entry,https://doi.org/10.1109/ISCA.2016.35,paper,primary,verified,high,T10/T11,T08;T12,core|gpu|isa|microarchitecture,ISCA-CORE-GPU-MICROARCH,Core/GPU microarch,agent_provisional,"gpt-5.5 xhigh clustering subagent output on 2026-06-25; inclusion=CPU/GPU cores, ISA, branch/value prediction, coherence, consistency, register/cache microarchitecture; caveat=memory-system papers with explicit PIM/storage stay in MEM.",,,,,none,,,maybe,,DBLP key=conf/isca/DallLLNK16; pages=304-316
ISCA-2016-P0010,ISCA,ISCA,2016,complete,Rescuing Uncorrectable Fault Patterns in On-Chip Memories through Error Pattern Transformation,Henry Duwe|Xun Jian 0002|Daniel Petrisko|Rakesh Kumar 0002,Main Program,,accepted_paper,10.1109/ISCA.2016.61,,https://doi.org/10.1109/ISCA.2016.61,,,https://dblp.org/rec/conf/isca/DuweJP016,,https://doi.org/10.1109/ISCA.2016.61,,DBLP ISCA proceedings entry,https://doi.org/10.1109/ISCA.2016.61,paper,primary,verified,high,T12,T07;T10;T11,security|reliability|correctness|isolation,ISCA-SEC-RELIABILITY,Security/reliability,agent_provisional,"gpt-5.5 xhigh clustering subagent output on 2026-06-25; inclusion=side channels, RowHammer, ECC, reliability, memory safety, private compute, FHE/ZK/ORAM/TEE; caveat=taxonomy seed lacks explicit security topic; mapped to T12-adjacent.",,,,,none,,,maybe,,DBLP key=conf/isca/DuweJP016; pages=634-644
