claim_id,claim_text,supporting_venue_ids,supporting_evidence_ids_or_paper_ids,strength,caveat
CVSF-TREND-001,"LLM acceleration has moved from generic Transformer kernels toward state/cache/serving problems: KV residency, prefill/decode overlap, sparse attention, long-context memory, and token-level silicon metrics.",MLSys;HPCA;MICRO;ASPLOS;FPGA;DAC;DATE;ISSCC;JSSC;VLSI;SC,MLSys-SW-E0018; MLSys-SW-E0054; MLSys-SW-E0057; MLSys-SW-E0059; MLSys-SW-E0064; MLSys-SW-E0072; HPCA-SW-E0048; HPCA-SW-E0069; HPCA-SW-E0076; MICRO-SW-E0087; MICRO-SW-E0088; FPGA-SW-E0034; DAC-SW-E0040; ISSCC-SW-E0068; VLSI-SW-E0099; SC-SW-E0025,strong,2026 rows are partial in several venues; adoption and artifact reuse remain mostly unverified.
CVSF-TREND-002,"Neural rendering and 3DGS have become a real cross-venue accelerator frontier, centered on sorting, rasterization, ray/Gaussian scheduling, cache reuse, and mobile/edge frame latency.",DAC;DATE;ISCA;MICRO;HPCA;ASPLOS;ISCAS;VLSI;JSSC;MLSys;PACT,DAC-SW-E0015; DAC-SW-E0031; DATE-SW-E0056; DATE-SW-E0059; DATE-SW-E0061; DATE-SW-E0070; ISCA-2023-P0038; ISCA-2025-P0010; ISCA-SW-E0023; MICRO-2025-P0120; MICRO-2025-P0121; VLSI-SW-E0089; VLSI-SW-E0090; VLSI-SW-E0093; JSSC-SW-E0034; PACT-SW-E0101,strong emerging,The line is young and frontier-heavy; graphics/vision venues and final 2026 proceedings are still needed.
CVSF-TREND-003,"PIM/CIM evidence is no longer only CNN macro work; it increasingly targets Transformer/LLM attention, KV/cache, long-context inference, and edge fine-tuning.",A-SSCC;CICC;DAC;DATE;HPCA;ASPLOS;ISSCC;JSSC;VLSI;ISCAS,A-SSCC-SW-E0015; A-SSCC-SW-E0021; A-SSCC-SW-E0027; CICC-SW-E0039; CICC-SW-E0056; CICC-SW-E0059; DAC-SW-E0027; DAC-SW-E0028; DATE-SW-E0055; DATE-SW-E0060; HPCA-SW-E0028; HPCA-SW-E0042; HPCA-SW-E0069; ISSCC-SW-E0038; ISSCC-SW-E0062; JSSC-SW-E0022; JSSC-SW-E0023; VLSI-SW-E0100,strong,"Device-level CIM, DRAM/HBM-PIM, and system-level CXL/NDP should not be collapsed into one final topic."
CVSF-TREND-004,"HLS/compiler/EDA evidence is shifting from static transformation and DSE toward LLM-assisted code, assertions, RTL/HLS benchmarks, and agentic optimization.",DAC;DATE;ICCAD;ICCD;ISCAS;ASP-DAC;PACT;MLSys;FPGA;FPT,ICCAD-SW-E0031; ICCAD-SW-E0032; ICCAD-SW-E0034; ICCAD-SW-E0049; ICCD-SW-E0019; DATE-SW-E0067; DATE-SW-E0069; DAC-SW-E0039; DAC-SW-E0043; DAC-SW-E0047; ISCAS-SW-E0076; PACT-SW-E0090; PACT-SW-E0099; MLSys-2026-P0005; MLSys-2026-P0059,strong,"Benchmark contamination, QoR comparability, and runnable status are not resolved."
CVSF-TREND-005,"Physical implementation and packaging constraints are now part of accelerator research maps: timing/routing, 3DIC, chiplets, UCIe, HBM, thermal and package-level closure appear as recurring bottlenecks.",ASP-DAC;DAC;DATE;ICCAD;TCAD;VLSI;HOTCHIPS;FCCM;FPL,DATE-SW-E0068; DAC-SW-E0025; VLSI-SW-E0073; VLSI-SW-E0102; VLSI-SW-E0103; HOTCHIPS-2016-P0022; HOTCHIPS-2022-P0046; HOTCHIPS-2023-P0008; HOTCHIPS-2023-P0009; ICCAD-SW-E0019; ICCAD-SW-E0023; ICCAD-SW-E0024,moderate-strong,Some rows are packaging/EDA infrastructure rather than workload-specific accelerator evidence.
CVSF-TREND-006,"Benchmarking/profiling/artifact infrastructure is a separate evidence problem across venues, not just auxiliary material.",ISCA;MICRO;MLSys;FPGA;FPL;ICCAD;ISCAS;SC;HPCA;PACT,ISCA-SW-E0007; ISCA-SW-E0009; ISCA-SW-E0035; ISCA-SW-E0036; MICRO-SW-E0026; MICRO-SW-E0060; MICRO-SW-E0070; MICRO-SW-E0076; MLSys-SW-E0011; MLSys-SW-E0066; MLSys-SW-E0101; MLSys-SW-E0104; MLSys-SW-E0109; ICCAD-SW-E0031; ICCAD-SW-E0032; ICCAD-SW-E0033; ISCAS-SW-E0074; ISCAS-SW-E0076; ISCAS-SW-E0096; SC-SW-E0079; SC-SW-E0080; SC-SW-E0082,strong,Tool/code presence is not proof of reuse or reproducibility; no benchmark was executed locally.
CVSF-TREND-007,"Sparse and irregular workloads are splitting into at least three concrete problems: sparse neural/tensor modeling, graph/GNN/recommendation locality, and scientific sparse/tensor-core reformulation.",MICRO;MLSys;PACT;PPoPP;SC;FPGA;FPL;HPCA,MICRO-SW-E0024; MICRO-SW-E0025; MICRO-SW-E0060; MICRO-SW-E0070; MLSys-SW-E0063; MLSys-SW-E0069; PACT-SW-E0012; PACT-SW-E0063; PACT-SW-E0089; PACT-SW-E0100; SC-SW-E0037; SC-SW-E0059; SC-SW-E0064; HPCA-SW-E0071,moderate-strong,A single irregular acceleration label would hide different workloads and evaluation methods.
CVSF-TREND-008,"Edge robotics and sensor-near perception form a low-latency/power substrate that is adjacent to, but not identical with, 3DGS/neural rendering.",A-SSCC;ISSCC;VLSI;HOTCHIPS;FPT;FPL;ISCAS;PACT;MLSys,VLSI-SW-E0020; VLSI-SW-E0035; VLSI-SW-E0083; VLSI-SW-E0087; VLSI-SW-E0088; A-SSCC-SW-E0029; A-SSCC-SW-E0035; A-SSCC-SW-E0036; FPT-SW-E0022; FPT-SW-E0027; FPT-SW-E0029; PACT-SW-E0033; PACT-SW-E0034; PACT-SW-E0066; HOTCHIPS-2018-P0013; HOTCHIPS-2021-P0024,moderate,"Many rows are SLAM/sensor/vision front-end evidence, not full embodied AI or 3DGS evidence."
CVSF-TREND-009,"Datacenter accelerator research is increasingly fabric- and orchestration-limited: collectives, topology, offload, GPU sharing, MoE routing, and cluster memory pressure recur across systems venues.",SC;MLSys;ASPLOS;HOTCHIPS;PPoPP;ISCA,SC-SW-E0009; SC-SW-E0010; SC-SW-E0019; SC-SW-E0025; SC-SW-E0030; SC-SW-E0031; SC-SW-E0033; MLSys-SW-E0001; MLSys-SW-E0069; ASPLOS-SW-E0034; ASPLOS-SW-E0055; ASPLOS-SW-E0056; ASPLOS-SW-E0092; ASPLOS-SW-E0102; HOTCHIPS-2018-P0039; HOTCHIPS-2020-P0028; HOTCHIPS-2021-P0003; HOTCHIPS-2022-P0019; HOTCHIPS-2023-P0038; HOTCHIPS-2024-P0029,moderate-strong,HOTCHIPS evidence often comes from vendor disclosures; independent benchmark/deployment validation is uneven.
CVSF-TREND-010,"Security, correctness, and dependability appear as cross-cutting accelerator constraints rather than a single performance lineage.",MICRO;DATE;HPCA;ICCAD;FPL;FPT;CICC;A-SSCC;DAC;ASPLOS,MICRO-SW-E0017; MICRO-SW-E0066; DATE-SW-E0051; HPCA-SW-E0075; FPT-SW-E0020; A-SSCC-2022-P0015; A-SSCC-2022-P0031; A-SSCC-2025-P0134; CICC-2024-P0055; CICC-2026-P0059; CICC-2026-P0060; DAC-SW-E0005,moderate,Some evidence is boundary/negative-boundary; dedicated security venues are required before stronger claims.
