global_subfield_label,paper_id,title,year,venue_id,role,why_selected,evidence_id,evidence_url,impact_status_or_caveat,reading_route_note
low_precision_spatial_dnn_dataflows,FCCM-2016-P0010,fpgaConvNet,2016,FCCM,origin_anchor,CNN-to-FPGA mapping origin with artifact/toolflow signal,FCCM-SW-E0014,https://doi.org/10.1109/FCCM.2016.22,verified_impact; artifact+toolchain,origin/formation
low_precision_spatial_dnn_dataflows,ISCA-2016-P0005,Eyeriss,2016,ISCA,milestone_candidate,row-stationary dataflow and CNN data-movement anchor,ISCA-SW-E0002,https://eyeriss.mit.edu/,verified_impact; citation_context+benchmark+project,milestone
low_precision_spatial_dnn_dataflows,ISCA-2017-P0030,SCNN,2017,ISCA,milestone_candidate,compressed-sparse CNN accelerator lineage,ISCA-SW-E0005,https://doi.org/10.1145/3079856.3080254,verified_impact; citation_context+benchmark,milestone
low_precision_spatial_dnn_dataflows,FCCM-2019-P0022,LUTNet,2019,FCCM,formation_paper,LUT-native FPGA inference formation paper,FCCM-SW-E0016,https://github.com/awai54st/LUTNet,verified_impact; artifact+benchmark,milestone
low_precision_spatial_dnn_dataflows,FPGA-2026-P0004,KANELE,2026,FPGA,frontier,LUT/KAN frontier; award/code signal,FPGA-SW-E0033,https://dl.acm.org/doi/10.1145/3748173.3779202,emerging_signal; no long-term impact yet,frontier
llm_serving_attention_kv_quantization,MLSys-2021-P0016,Data Movement Is All You Need,2021,MLSys,milestone_candidate,reframes Transformer optimization around data movement,MLSys-SW-E0018,https://proceedings.mlsys.org/paper_files/paper/2021/file/bc86e95606a6392f51f95a8de106728d-Paper.pdf,"partial_impact; code signal, adoption not audited",origin/formation
llm_serving_attention_kv_quantization,HPCA-2021-P0061,SpAtten,2021,HPCA,milestone_candidate,sparse attention hardware anchor,HPCA-SW-E0026,https://doi.org/10.1109/HPCA51647.2021.00018,partial_impact; citation/benchmark only,milestone
llm_serving_attention_kv_quantization,MLSys-2024-P0005,AWQ,2024,MLSys,milestone_candidate,on-device LLM quantization with artifact/toolchain evidence,MLSys-SW-E0054,https://proceedings.mlsys.org/paper_files/paper/2024/file/42a452cbafa9dd64e9ba4aa95cc1ef21-Paper-Conference.pdf,verified_impact; artifact+toolchain+benchmark,milestone
llm_serving_attention_kv_quantization,MLSys-2025-P0015,FlashInfer,2025,MLSys,milestone_candidate,attention-engine serving frontier with integration evidence,MLSys-SW-E0072,https://proceedings.mlsys.org/paper_files/paper/2025/file/dbf02b21d77409a2db30e56866a8ab3a-Paper-Conference.pdf,verified_impact; artifact+toolchain+benchmark,tool/frontier
llm_serving_attention_kv_quantization,FPGA-2026-P0005,CXL-SpecKV,2026,FPGA,frontier,disaggregated/speculative KV-cache FPGA frontier,FPGA-SW-E0034,https://dl.acm.org/doi/10.1145/3748173.3779188,"emerging_signal; code only, recent",frontier
fpga_hls_compiler_closure,FPT-2016-P0021,Spector,2016,FPT,tool_benchmark,OpenCL FPGA benchmark-suite anchor,FPT-SW-E0005,https://github.com/KastnerRG/spector,partial_impact; artifact signal,tool/benchmark
fpga_hls_compiler_closure,FPGA-2018-P0027,Rosetta,2018,FPGA,tool_benchmark,HLS benchmark discipline anchor,FPGA-SW-E0010,https://doi.org/10.1145/3174243.3174255,verified_impact; artifact+benchmark,tool/benchmark
fpga_hls_compiler_closure,FPGA-2019-P0027,HeteroCL,2019,FPGA,milestone_candidate,DSL/programming infrastructure for reconfigurable computing,FPGA-SW-E0012,https://doi.org/10.1145/3289602.3293910,verified_impact; artifact+venue recognition,milestone
fpga_hls_compiler_closure,FPGA-2021-P0007,AutoBridge,2021,FPGA,milestone_candidate,floorplanning+pipelining for high-frequency HLS,FPGA-SW-E0015,https://doi.org/10.1145/3431920.3439289,verified_impact; artifact+venue recognition,milestone
fpga_hls_compiler_closure,FCCM-2023-P0010,LightningSim,2023,FCCM,tool_benchmark,trace-based HLS simulation tool,FCCM-SW-E0005,https://github.com/sharc-lab/LightningSim,verified_impact; artifact+benchmark+toolchain,tool/benchmark
evaluation_benchmark_simulation_profiling,ISCA-2018-P0023,FireSim,2018,ISCA,tool_benchmark,cycle-exact cloud FPGA simulation anchor,ISCA-SW-E0007,https://github.com/firesim/firesim,verified_impact; artifact+benchmark+toolchain,origin/tool
evaluation_benchmark_simulation_profiling,ISCA-2020-P0045,Accel-Sim,2020,ISCA,tool_benchmark,validated GPU-modeling framework,ISCA-SW-E0009,https://github.com/accel-sim/accel-sim-framework,verified_impact; artifact+benchmark+toolchain,milestone/tool
evaluation_benchmark_simulation_profiling,TCAD-2018-P0118,NeuroSim,2018,TCAD,tool_benchmark,circuit-level neuromorphic/CIM benchmark model,TCAD-SW-E0005,https://ieeexplore.ieee.org/document/8246561/,verified_impact in deep audit; matrix status mismatch,tool/benchmark
evaluation_benchmark_simulation_profiling,MICRO-2022-P0086,Sparseloop,2022,MICRO,tool_benchmark,sparse tensor accelerator analytical model,MICRO-SW-E0060,https://doi.org/10.1109/MICRO56248.2022.00096,partial_impact; benchmark signal only,tool/benchmark
evaluation_benchmark_simulation_profiling,MLSys-2026-P0099,MLCommons Chakra,2026,MLSys,tool_benchmark,standardized execution traces for ML benchmarking,MLSys-SW-E0101,https://openreview.net/pdf?id=s2WcSv2Hzt,emerging_signal; artifact+benchmark+toolchain,frontier/tool
cim_pim_near_memory_ai,VLSI-2016-P0076,ML classifier in 6T SRAM array,2016,VLSI,origin_anchor,early SRAM-CIM classifier anchor,VLSI-SW-E0004,https://www.princeton.edu/~nverma/VermaLabSite/Publications/2016/ZhangWangVerma_VLSI2016.pdf,partial_impact; benchmark only,origin/formation
