paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
PPoPP-2016-P0001,PPoPP,PPoPP,2016,complete,Coarse Grain Parallelization of Deep Neural Networks,Marc Gonzalez Tallada,Main Conference,Applications,accepted_paper,10.1145/2851141.2851158,https://dl.acm.org/doi/10.1145/2851141.2851158,,,,https://dblp.org/db/conf/ppopp/ppopp2016.html,https://ppopp16.sigplan.org/program/program-PPoPP-2016,https://dl.acm.org/doi/proceedings/10.1145/2851141,,Official PPoPP 2016 program,https://dl.acm.org/doi/10.1145/2851141.2851158,proceedings,primary,verified,high,PPOPP-T09,distributed_deep_learning_training_systems,distributed_training|dnn,PPOPP-C09,Distributed deep learning training systems,provisional,Title/session-level clustering using PPoPP-specific label set; abstract coverage uneven by year.,,,,,none,,,maybe,,Official program/OpenTOC row.
PPoPP-2016-P0002,PPoPP,PPoPP,2016,complete,High Performance Model Based Image Reconstruction,Xiao Wang|Amit Sabne|Sherman Kisner|Anand Raghunathan|Charles Bouman|Samuel Midkiff,Main Conference,Applications,accepted_paper,10.1145/2851141.2851163,https://dl.acm.org/doi/10.1145/2851141.2851163,,,,https://dblp.org/db/conf/ppopp/ppopp2016.html,https://ppopp16.sigplan.org/program/program-PPoPP-2016,https://dl.acm.org/doi/proceedings/10.1145/2851141,,Official PPoPP 2016 program,https://dl.acm.org/doi/10.1145/2851141.2851163,proceedings,primary,verified,high,PPOPP-T08,performance_debugging_resilience_and_sustainability,profiling|resilience,PPOPP-C08,"Performance debugging, resilience, and sustainability",provisional,Title/session-level clustering using PPoPP-specific label set; abstract coverage uneven by year.,,,,,none,,,maybe,,Official program/OpenTOC row.
PPoPP-2016-P0003,PPoPP,PPoPP,2016,complete,Exploiting Accelerators for Efficient High Dimensional Similarity Search,Sandeep Agrawal|Christopher Michael Dee|Alvin R. Lebeck,Main Conference,Applications,accepted_paper,10.1145/2851141.2851144,https://dl.acm.org/doi/10.1145/2851141.2851144,,,,https://dblp.org/db/conf/ppopp/ppopp2016.html,https://ppopp16.sigplan.org/program/program-PPoPP-2016,https://dl.acm.org/doi/proceedings/10.1145/2851141,,Official PPoPP 2016 program,https://dl.acm.org/doi/10.1145/2851141.2851144,proceedings,primary,verified,high,PPOPP-T05,irregular_graph_and_search_algorithms,irregular_graph|search,PPOPP-C05,Irregular graph and search algorithms,provisional,Title/session-level clustering using PPoPP-specific label set; abstract coverage uneven by year.,,,,,none,,,maybe,,Official program/OpenTOC row.
PPoPP-2016-P0004,PPoPP,PPoPP,2016,complete,Declarative Coordination of Graph-Based Parallel Programs,Flavio Cruz|Ricardo Rocha|Seth Copen Goldstein,Main Conference,Language Implementation & DSL,accepted_paper,10.1145/2851141.2851153,https://dl.acm.org/doi/10.1145/2851141.2851153,,,,https://dblp.org/db/conf/ppopp/ppopp2016.html,https://ppopp16.sigplan.org/program/program-PPoPP-2016,https://dl.acm.org/doi/proceedings/10.1145/2851141,,Official PPoPP 2016 program,https://dl.acm.org/doi/10.1145/2851141.2851153,proceedings,primary,verified,high,PPOPP-T05,irregular_graph_and_search_algorithms,irregular_graph|search,PPOPP-C05,Irregular graph and search algorithms,provisional,Title/session-level clustering using PPoPP-specific label set; abstract coverage uneven by year.,,,,,none,,,maybe,,Official program/OpenTOC row.
PPoPP-2016-P0005,PPoPP,PPoPP,2016,complete,Distributed Halide,Tyler Denniston|Shoaib Kamil|Saman Amarasinghe,Main Conference,Language Implementation & DSL,accepted_paper,10.1145/2851141.2851157,https://dl.acm.org/doi/10.1145/2851141.2851157,,,,https://dblp.org/db/conf/ppopp/ppopp2016.html,https://ppopp16.sigplan.org/program/program-PPoPP-2016,https://dl.acm.org/doi/proceedings/10.1145/2851141,,Official PPoPP 2016 program,https://dl.acm.org/doi/10.1145/2851141.2851157,proceedings,primary,verified,high,PPOPP-T04,parallel_compilers_languages_and_programming_models,compiler|programming_model,PPOPP-C04,"Parallel compilers, languages, and programming models",provisional,Title/session-level clustering using PPoPP-specific label set; abstract coverage uneven by year.,,,,,none,,,maybe,,Official program/OpenTOC row.
PPoPP-2016-P0006,PPoPP,PPoPP,2016,complete,Parallel Type-checking with Haskell using Saturating LVars and Stream Generators,Ryan R. Newton|Omer S. Agacan|Peter Fogg|Sam Tobin-Hochstadt,Main Conference,Language Implementation & DSL,accepted_paper,10.1145/2851141.2851142,https://dl.acm.org/doi/10.1145/2851141.2851142,,,,https://dblp.org/db/conf/ppopp/ppopp2016.html,https://ppopp16.sigplan.org/program/program-PPoPP-2016,https://dl.acm.org/doi/proceedings/10.1145/2851141,,Official PPoPP 2016 program,https://dl.acm.org/doi/10.1145/2851141.2851142,proceedings,primary,verified,high,PPOPP-T04,parallel_compilers_languages_and_programming_models,compiler|programming_model,PPOPP-C04,"Parallel compilers, languages, and programming models",provisional,Title/session-level clustering using PPoPP-specific label set; abstract coverage uneven by year.,,,,,none,,,maybe,,Official program/OpenTOC row.
PPoPP-2016-P0007,PPoPP,PPoPP,2016,complete,Articulation Point Guided Redundancy Elimination for Betweenness Centrality,Lei Wang|Fan Yang|Liangji Zhuang|Huimin Cui|Fang Lv|Xiaobing Feng,Main Conference,Algorithms,accepted_paper,10.1145/2851141.2851154,https://dl.acm.org/doi/10.1145/2851141.2851154,,,,https://dblp.org/db/conf/ppopp/ppopp2016.html,https://ppopp16.sigplan.org/program/program-PPoPP-2016,https://dl.acm.org/doi/proceedings/10.1145/2851141,,Official PPoPP 2016 program,https://dl.acm.org/doi/10.1145/2851141.2851154,proceedings,primary,verified,high,PPOPP-T99,uncertain_misc_parallel_algorithms,needs_review,PPOPP-C99,Uncertain/misc parallel algorithms,provisional,Title/session-level clustering using PPoPP-specific label set; abstract coverage uneven by year.,,,,,none,,,maybe,,Official program/OpenTOC row.
PPoPP-2016-P0008,PPoPP,PPoPP,2016,complete,Multi-Core On-The-Fly SCC Decomposition,Vincent Bloemen|Alfons Laarman|Jaco van de Pol,Main Conference,Algorithms,accepted_paper,10.1145/2851141.2851161,https://dl.acm.org/doi/10.1145/2851141.2851161,,,,https://dblp.org/db/conf/ppopp/ppopp2016.html,https://ppopp16.sigplan.org/program/program-PPoPP-2016,https://dl.acm.org/doi/proceedings/10.1145/2851141,,Official PPoPP 2016 program,https://dl.acm.org/doi/10.1145/2851141.2851161,proceedings,primary,verified,high,PPOPP-T99,uncertain_misc_parallel_algorithms,needs_review,PPOPP-C99,Uncertain/misc parallel algorithms,provisional,Title/session-level clustering using PPoPP-specific label set; abstract coverage uneven by year.,,,,,none,,,maybe,,Official program/OpenTOC row.
PPoPP-2016-P0009,PPoPP,PPoPP,2016,complete,A High-Performance Parallel Algorithm for Nonnegative Matrix Factorization,Ramakrishnan Kannan|Grey Ballard|Haesun Park,Main Conference,Algorithms,accepted_paper,10.1145/2851141.2851152,https://dl.acm.org/doi/10.1145/2851141.2851152,,,,https://dblp.org/db/conf/ppopp/ppopp2016.html,https://ppopp16.sigplan.org/program/program-PPoPP-2016,https://dl.acm.org/doi/proceedings/10.1145/2851141,,Official PPoPP 2016 program,https://dl.acm.org/doi/10.1145/2851141.2851152,proceedings,primary,verified,high,PPOPP-T07,sparse_tensor_stencil_and_linear_algebra_kernels,numeric_kernel|sparse_or_tensor,PPOPP-C07,"Sparse, tensor, stencil, and linear algebra kernels",provisional,Title/session-level clustering using PPoPP-specific label set; abstract coverage uneven by year.,,,,,none,,,maybe,,Official program/OpenTOC row.
PPoPP-2016-P0010,PPoPP,PPoPP,2016,complete,Autogen: Automatic Discovery of Cache-Oblivious Parallel Recursive Algorithms for Solving Dynamic Programs,Rezaul Chowdhury|Pramod Ganapathi|Jesmin Jahan Tithi|Charles Bachmeier|Bradley Kuszmaul|Charles E. Leiserson|Armando Solar-Lezama|Yuan Tang,Main Conference,Algorithms,accepted_paper,10.1145/2851141.2851167,https://dl.acm.org/doi/10.1145/2851141.2851167,,,,https://dblp.org/db/conf/ppopp/ppopp2016.html,https://ppopp16.sigplan.org/program/program-PPoPP-2016,https://dl.acm.org/doi/proceedings/10.1145/2851141,,Official PPoPP 2016 program,https://dl.acm.org/doi/10.1145/2851141.2851167,proceedings,primary,verified,high,PPOPP-T99,uncertain_misc_parallel_algorithms,needs_review,PPOPP-C99,Uncertain/misc parallel algorithms,provisional,Title/session-level clustering using PPoPP-specific label set; abstract coverage uneven by year.,,,,,none,,,maybe,,Official program/OpenTOC row.
