paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
ISPA-2016-P0001,ISPA,ISPA,2016,complete,"A Comprehensive Optimization for Performance, Energy Efficiency, and Maintenance in Cloud Datacenters",Puheng Zhang|Chuang Lin|Kun Meng|Ying Chen,ISPA 2016,ISPA 2016,accepted_paper,,,,,,"https://dblp.org/search?q=A+Comprehensive+Optimization+for+Performance,+Energy+Efficiency,+and+Maintenance+in+Cloud+Datacenters",,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T04/T08/T10,edge_cloud_offloading_scheduling,edge|cloud|scheduling|resource_management,ISPA-C01,"Edge/cloud offloading, scheduling, and resource management",provisional,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1264
ISPA-2016-P0002,ISPA,ISPA,2016,complete,A Distributed Game-Theoretic Approach for IaaS Service Trading in an Auction-Based Cloud Market,Yi Wei|Li Pan|Dong Yuan|Shijun Liu|Lei Wu|Xiangxu Meng,ISPA 2016,ISPA 2016,accepted_paper,,,,,,https://dblp.org/search?q=A+Distributed+Game-Theoretic+Approach+for+IaaS+Service+Trading+in+an+Auction-Based+Cloud+Market,,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T04/T08/T10,edge_cloud_offloading_scheduling,edge|cloud|scheduling|resource_management,ISPA-C01,"Edge/cloud offloading, scheduling, and resource management",provisional,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1543
ISPA-2016-P0003,ISPA,ISPA,2016,complete,A Memory Access Pattern-Based Program Profiling System for Dynamic Parallelism Prediction,Zijun Han|Guangzhi Qu|Dona Burkard|Yuan Gao|Zhuzhong Qian|Mingyu Zhai|Hui Peng|Sanglu Lu,ISPA 2016,ISPA 2016,accepted_paper,10.1109/trustcom.2016.0227,,,,,https://dblp.org/search?q=A+Memory+Access+Pattern-Based+Program+Profiling+System+for+Dynamic+Parallelism+Prediction,,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T10/T11,memory_storage_data_management,memory|storage|cache|data_management,ISPA-C03,"Memory, storage, cache, and data management",provisional,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,abstract,TOC parsed row; page=1448
ISPA-2016-P0004,ISPA,ISPA,2016,complete,A Model with Hierarchical Classifiers for Activity Recognition on Mobile Devices,Changhai Wang|Meng Li|Jianzhong Zhang|Yuwei Xu,ISPA 2016,ISPA 2016,accepted_paper,,,,,,https://dblp.org/search?q=A+Model+with+Hierarchical+Classifiers+for+Activity+Recognition+on+Mobile+Devices,,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T11,misc_or_application_specific_boundary,needs_review,ISPA-C10,Miscellaneous or application-specific boundary rows,uncertain,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1295
ISPA-2016-P0005,ISPA,ISPA,2016,complete,"A Novel Hash-Based File Clustering Scheme for Efficient Distributing, Storing, and Retrieving of Large Scale Health Records",Thanh Dat Dang|Doan Hoang|Priyadarsi Nanda,ISPA 2016,ISPA 2016,accepted_paper,,,,,,"https://dblp.org/search?q=A+Novel+Hash-Based+File+Clustering+Scheme+for+Efficient+Distributing,+Storing,+and+Retrieving+of+Large+Scale+Health+Records",,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T11,misc_or_application_specific_boundary,needs_review,ISPA-C10,Miscellaneous or application-specific boundary rows,uncertain,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1485
ISPA-2016-P0006,ISPA,ISPA,2016,complete,A Skew-Insensitive Hashing Sync and Construction Scheme for Many-Core Coprocessors,Kailai Zhou|Hong Chen|Hui Sun|Cuiping Li,ISPA 2016,ISPA 2016,accepted_paper,,,,,,https://dblp.org/search?q=A+Skew-Insensitive+Hashing+Sync+and+Construction+Scheme+for+Many-Core+Coprocessors,,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T07/T11,parallel_hpc_application_optimization,parallel|hpc|application_optimization,ISPA-C02,Parallel/HPC application optimization,provisional,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1334
ISPA-2016-P0007,ISPA,ISPA,2016,complete,A Tool to Detect Performance Problems of Multi-threaded Programs on NUMA Systems,Liang Zhu|Hai Jin|Xiaofei Liao,ISPA 2016,ISPA 2016,accepted_paper,,,,,,https://dblp.org/search?q=A+Tool+to+Detect+Performance+Problems+of+Multi-threaded+Programs+on+NUMA+Systems,,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T11,misc_or_application_specific_boundary,needs_review,ISPA-C10,Miscellaneous or application-specific boundary rows,uncertain,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1145
ISPA-2016-P0008,ISPA,ISPA,2016,complete,A Topic Approach to Sentence Ordering for Multi-document Summarization,Liu Na|Xiao Peng|Lu Ying|Tang Xiao-Jun|Wang Hai-Wen|Li Ming-Xia,ISPA 2016,ISPA 2016,accepted_paper,,,,,,https://dblp.org/search?q=A+Topic+Approach+to+Sentence+Ordering+for+Multi-document+Summarization,,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T11,misc_or_application_specific_boundary,needs_review,ISPA-C10,Miscellaneous or application-specific boundary rows,uncertain,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1390
ISPA-2016-P0009,ISPA,ISPA,2016,complete,A Trust-Based Cooperative Spectrum Sensing Scheme against SSDF Attack in CRNs,Fanzi Zeng|Jie Li|Jisheng Xu|Jing Zhong,ISPA 2016,ISPA 2016,accepted_paper,,,,,,https://dblp.org/search?q=A+Trust-Based+Cooperative+Spectrum+Sensing+Scheme+against+SSDF+Attack+in+CRNs,,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T10/T11,memory_storage_data_management,memory|storage|cache|data_management,ISPA-C03,"Memory, storage, cache, and data management",provisional,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1167
ISPA-2016-P0010,ISPA,ISPA,2016,complete,A Truthful Greedy Mechanism toward Resource Sharing for Cloudlets in Mobile Cloud Computing,Zhiwei Zhou|Junwu Zhu|Yi Jiang|Bin Li,ISPA 2016,ISPA 2016,accepted_paper,,,,,,https://dblp.org/search?q=A+Truthful+Greedy+Mechanism+toward+Resource+Sharing+for+Cloudlets+in+Mobile+Cloud+Computing,,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T04/T08/T10,edge_cloud_offloading_scheduling,edge|cloud|scheduling|resource_management,ISPA-C01,"Edge/cloud offloading, scheduling, and resource management",provisional,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1241
