paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
PACT-2016-P0001,PACT,PACT,2016,complete,A DSL Compiler for Accelerating Image Processing Pipelines on FPGAs,Nitin Chugh|Vinay Vasista|Suresh Purini|Uday Bondhugula,Conference Papers,,accepted_paper,10.1145/2967938.2967969,,,,,https://dblp.org/rec/conf/IEEEpact/ChughVPB16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2967969,paper,primary,verified,high,T03/T04/T09/T11,domain_visual_robotics_genomics,3dgs|robotics|slam|vision|genomics|scientific|mobile_gpu,PACT-C08,"Domain, visual, robotics, genomics, and scientific workloads",provisional,Cluster seed from gpt-5.5 xhigh clustering agent; title/session-level assignment.,,,,,tool_benchmark,4,FPGA DSL/compiler route relevant to hardware-software mapping.,yes,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0002,PACT,PACT,2016,complete,A Static Cut-off for Task Parallel Programs,Shintaro Iwasaki|Kenjiro Taura,Conference Papers,,accepted_paper,10.1145/2967938.2967968,,,,,https://dblp.org/rec/conf/IEEEpact/IwasakiT16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2967968,paper,primary,verified,high,T11,general_needs_review,needs_review,PACT-C99,General PACT needs-review rows,uncertain,Fallback title-level bucket; not a stable topic.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0003,PACT,PACT,2016,complete,Accelerating Linked-list Traversal Through Near-Data Processing,Byungchul Hong|Gwangsun Kim|Jung Ho Ahn|Yongkee Kwon|Hongsik Kim|John Kim 0001,Conference Papers,,accepted_paper,10.1145/2967938.2967958,,,,,https://dblp.org/rec/conf/IEEEpact/HongKAKKK16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2967958,paper,primary,verified,high,T10/T01/T11,memory_pim_cxl_persistence,memory|pim|near_memory|cxl|nvm|kv_cache|data_movement,PACT-C05,"Memory, PIM, CXL, persistence, and data movement",provisional,Cluster seed from gpt-5.5 xhigh clustering agent; title/session-level assignment.,,,,,milestone,4,Early near-data route for pointer-heavy irregular access.,yes,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0004,PACT,PACT,2016,complete,Auto-tuning Spark Big Data Workloads on POWER8: Prediction-Based Dynamic SMT Threading,Zhen Jia 0001|Chao Xue|Guancheng Chen|Jianfeng Zhan|Lixin Zhang 0002|Yonghua Lin|H. Peter Hofstee,Conference Papers,,accepted_paper,10.1145/2967938.2967957,,,,,https://dblp.org/rec/conf/IEEEpact/JiaXCZZLH16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2967957,paper,primary,verified,high,T07/T08/T11,compiler_codegen_autotuning,compiler|code_generation|autotuning|polyhedral|dsl|mlir|loop_optimization,PACT-C01,"Compiler, code generation, and autotuning",provisional,Cluster seed from gpt-5.5 xhigh clustering agent; title/session-level assignment.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0005,PACT,PACT,2016,complete,Automatically Exploiting Implicit Pipeline Parallelism from Multiple Dependent Kernels for GPUs,Gwangsun Kim|Jiyun Jeong|John Kim 0001|Mark Stephenson,Conference Papers,,accepted_paper,10.1145/2967938.2967952,,,,,https://dblp.org/rec/conf/IEEEpact/KimJKS16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2967952,paper,primary,verified,high,T07/T08/T11,compiler_codegen_autotuning,compiler|code_generation|autotuning|polyhedral|dsl|mlir|loop_optimization,PACT-C01,"Compiler, code generation, and autotuning",provisional,Cluster seed from gpt-5.5 xhigh clustering agent; title/session-level assignment.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0006,PACT,PACT,2016,complete,Big Data Analytics on Flash Storage with Accelerators,Arvind 0001,Conference Papers,,accepted_paper,10.1145/2967938.2970374,,,,,https://dblp.org/rec/conf/IEEEpact/Arvind16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2970374,paper,primary,verified,high,T06/T07/T12,spatial_fpga_heterogeneous_accelerators,fpga|spatial|heterogeneous|accelerator|hls|source_to_source,PACT-C06,"Spatial, FPGA, and heterogeneous accelerators",provisional,Cluster seed from gpt-5.5 xhigh clustering agent; title/session-level assignment.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0007,PACT,PACT,2016,complete,"Bridging the Semantic Gaps of GPU Acceleration for Scale-out CNN-based Big Data Processing: Think Big, See Small",Mingcong Song|Yang Hu 0001|Yunlong Xu|Chao Li 0009|Huixiang Chen 0001|Jingling Yuan|Tao Li 0006,Conference Papers,,accepted_paper,10.1145/2967938.2967944,,,,,https://dblp.org/rec/conf/IEEEpact/SongHXLCYL16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2967944,paper,primary,verified,high,T08/T10/T11,gpu_memory_runtime_microarchitecture,gpu|runtime|cache|address_translation|warp|kernel,PACT-C02,"GPU memory, runtime, and microarchitecture",provisional,Cluster seed from gpt-5.5 xhigh clustering agent; title/session-level assignment.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0008,PACT,PACT,2016,complete,CAF: Core to Core Communication Acceleration Framework,Yipeng Wang 0002|Ren Wang 0001|Andrew Herdrich|James Tsai|Yan Solihin,Conference Papers,,accepted_paper,10.1145/2967938.2967954,,,,,https://dblp.org/rec/conf/IEEEpact/WangWHTS16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2967954,paper,primary,verified,high,T11,general_needs_review,needs_review,PACT-C99,General PACT needs-review rows,uncertain,Fallback title-level bucket; not a stable topic.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0009,PACT,PACT,2016,complete,Characterizing and Optimizing the Performance of Multithreaded Programs Under Interference,Yong Zhao|Jia Rao|Qing Yi,Conference Papers,,accepted_paper,10.1145/2967938.2967939,,,,,https://dblp.org/rec/conf/IEEEpact/ZhaoRY16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2967939,paper,primary,verified,high,T11,general_needs_review,needs_review,PACT-C99,General PACT needs-review rows,uncertain,Fallback title-level bucket; not a stable topic.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0010,PACT,PACT,2016,complete,Combating the Reliability Challenge of GPU Register File at Low Supply Voltage,Jingweijia Tan|Shuaiwen Leon Song|Kaige Yan|Xin Fu 0001|Andrés Márquez 0001|Darren J. Kerbyson,Conference Papers,,accepted_paper,10.1145/2967938.2967951,,,,,https://dblp.org/rec/conf/IEEEpact/TanSYFMK16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2967951,paper,primary,verified,high,T10/T12/T11,security_reliability_specialized_crypto,security|reliability|side_channel|crypto|fhe|zkp|pqc,PACT-C07,"Security, reliability, and crypto accelerators",provisional,Cluster seed from gpt-5.5 xhigh clustering agent; title/session-level assignment.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
