award_id,venue_id,venue_name,year,year_status,award_name,award_category,award_rank,title,authors,paper_id,doi,official_url,proceedings_url,publisher_url,secondary_url,source_title,source_url,source_type,source_priority,verification_status,confidence,conflict_status,conflict_notes,topic_primary,topic_secondary,topic_tags,representative_role,milestone_candidate,impact_notes,missing_fields,notes
ISCA-2016-A01,ISCA,ISCA,2016,complete,Influential ISCA Paper Award,test_of_time,Winner,Focusing processor policies via critical-path prediction,Brian Fields|Shai Rubin|Rastislav Bodik,,,https://www.sigarch.org/benefit/awards/acm-sigarchieee-cs-tcca-influential-isca-paper-award/,,,,ISCA 2016 official award recipients page,https://www.sigarch.org/benefit/awards/acm-sigarchieee-cs-tcca-influential-isca-paper-award/,official_page,primary,verified,high,none,,T11,outside_current_corpus_needs_review,historical_award|outside_corpus|needs_review,milestone,maybe,Venue award/artifact signal only; long-term impact remains impact_unverified unless separately cited.,paper_id,Historical influential award outside 2016-2026 accepted-paper corpus. SIGARCH/TCCA Influential ISCA Paper Award page lists this as the 2016 award for ISCA 2001.
ISCA-2017-A02,ISCA,ISCA,2017,complete,Influential ISCA Paper Award,test_of_time,Winner,Drowsy Caches: Simple Techniques for Reducing Leakage Power,Kris Flautner|Nam Sung Kim|Steve Martin|David Blaauw|Trevor Mudge,,,https://www.sigarch.org/benefit/awards/acm-sigarchieee-cs-tcca-influential-isca-paper-award/,,,,ISCA 2017 official award recipients page,https://www.sigarch.org/benefit/awards/acm-sigarchieee-cs-tcca-influential-isca-paper-award/,official_page,primary,verified,high,none,,T11,outside_current_corpus_needs_review,historical_award|outside_corpus|needs_review,milestone,maybe,Venue award/artifact signal only; long-term impact remains impact_unverified unless separately cited.,paper_id,Historical influential award outside 2016-2026 accepted-paper corpus. SIGARCH/TCCA Influential ISCA Paper Award page lists this as the 2017 award for ISCA 2002.
ISCA-2018-A03,ISCA,ISCA,2018,complete,Influential ISCA Paper Award,test_of_time,Winner,Temperature-Aware Microarchitecture,Kevin Skadron|Mircea Stan|Karthik Sankaranarayanan|Wei Huang|Sivakumar Velusamy|David Tarjan,,,https://www.sigarch.org/benefit/awards/acm-sigarchieee-cs-tcca-influential-isca-paper-award/,,,,ISCA 2018 official award recipients page,https://www.sigarch.org/benefit/awards/acm-sigarchieee-cs-tcca-influential-isca-paper-award/,official_page,primary,verified,high,none,,T11,outside_current_corpus_needs_review,historical_award|outside_corpus|needs_review,milestone,maybe,Venue award/artifact signal only; long-term impact remains impact_unverified unless separately cited.,paper_id,Historical influential award outside 2016-2026 accepted-paper corpus. SIGARCH/TCCA Influential ISCA Paper Award page lists this as the 2018 award for ISCA 2003.
ISCA-2019-A04,ISCA,ISCA,2019,complete,Influential ISCA Paper Award,test_of_time,Winner,Transactional Memory Coherence and Consistency,Lance Hammond|Vicky Wong|Mike Chen|Brian D. Carlstrom|John D. Davis|Ben Hertzberg|Manohar K. Prabhu|Honggo Wijaya|Christos Kozyrakis|Kunle Olukotun,,,https://www.sigarch.org/benefit/awards/acm-sigarchieee-cs-tcca-influential-isca-paper-award/,,,,ISCA 2019 official award recipients page,https://www.sigarch.org/benefit/awards/acm-sigarchieee-cs-tcca-influential-isca-paper-award/,official_page,primary,verified,high,none,,T11,outside_current_corpus_needs_review,historical_award|outside_corpus|needs_review,milestone,maybe,Venue award/artifact signal only; long-term impact remains impact_unverified unless separately cited.,paper_id,Historical influential award outside 2016-2026 accepted-paper corpus. SIGARCH/TCCA Influential ISCA Paper Award page lists this as the 2019 award for ISCA 2004.
ISCA-2020-A05,ISCA,ISCA,2020,complete,Influential ISCA Paper Award,test_of_time,Winner,"Interconnections in Multi-Core Architectures: Understanding Mechanisms, Overheads and Scaling",Rakesh Kumar|Victor V. Zyuban|Dean M. Tullsen,,,https://www.sigarch.org/benefit/awards/acm-sigarchieee-cs-tcca-influential-isca-paper-award/,,,,ISCA 2020 official award recipients page,https://www.sigarch.org/benefit/awards/acm-sigarchieee-cs-tcca-influential-isca-paper-award/,official_page,primary,verified,high,none,,T11,outside_current_corpus_needs_review,historical_award|outside_corpus|needs_review,milestone,maybe,Venue award/artifact signal only; long-term impact remains impact_unverified unless separately cited.,paper_id,Historical influential award outside 2016-2026 accepted-paper corpus. SIGARCH/TCCA Influential ISCA Paper Award page lists this as the 2020 award for ISCA 2005.
ISCA-2021-A06,ISCA,ISCA,2021,complete,Influential ISCA Paper Award,test_of_time,Winner,Techniques for Multicore Thermal Management: Classification and New Exploration,James Donald|Margaret Martonosi,,,https://www.sigarch.org/benefit/awards/acm-sigarchieee-cs-tcca-influential-isca-paper-award/,,,,ISCA 2021 official award recipients page,https://www.sigarch.org/benefit/awards/acm-sigarchieee-cs-tcca-influential-isca-paper-award/,official_page,primary,verified,high,none,,T11,outside_current_corpus_needs_review,historical_award|outside_corpus|needs_review,milestone,maybe,Venue award/artifact signal only; long-term impact remains impact_unverified unless separately cited.,paper_id,Historical influential award outside 2016-2026 accepted-paper corpus. SIGARCH/TCCA Influential ISCA Paper Award page lists this as the 2021 award for ISCA 2006.
ISCA-2022-A07,ISCA,ISCA,2022,complete,ISCA Best Paper Award,best_paper,Winner,NvMR: Non-Volatile Memory Renaming for Intermittent Computing,Abhishek Bhattacharyya|Abhijith Somashekhar|Joshua San Miguel,ISCA-2022-P0010,10.1145/3470496.3527413,https://www.sigarch.org/other-announcements/congratulating-isca-2022-awards-recipients/,https://doi.org/10.1145/3470496.3527413,https://doi.org/10.1145/3470496.3527413,https://dblp.org/rec/conf/isca/BhattacharyyaSM22,ISCA 2022 official award recipients page,https://www.sigarch.org/other-announcements/congratulating-isca-2022-awards-recipients/,official_page,primary,verified,high,none,,T12,T07;T11,quantum|emerging|neuromorphic|intermittent,milestone,yes,Venue award/artifact signal only; long-term impact remains impact_unverified unless separately cited.,,Quantum/emerging. SIGARCH ISCA 2022 awards-recipient post lists this as ISCA 2022 Best Paper Award.
ISCA-2022-A08,ISCA,ISCA,2022,complete,Influential ISCA Paper Award,test_of_time,Winner,Power provisioning for a warehouse-sized computer,Xiaobo Fan|Wolf-Dietrich Weber|Luiz Andre Barroso,,,https://www.sigarch.org/benefit/awards/acm-sigarchieee-cs-tcca-influential-isca-paper-award/,,,,ISCA 2022 official award recipients page,https://www.sigarch.org/benefit/awards/acm-sigarchieee-cs-tcca-influential-isca-paper-award/,official_page,primary,verified,high,none,,T11,outside_current_corpus_needs_review,historical_award|outside_corpus|needs_review,milestone,maybe,Venue award/artifact signal only; long-term impact remains impact_unverified unless separately cited.,paper_id,Historical influential award outside 2016-2026 accepted-paper corpus. SIGARCH/TCCA Influential ISCA Paper Award page lists this as the 2022 award for ISCA 2007.
ISCA-2023-A09,ISCA,ISCA,2023,complete,ISCA Best Paper Award,best_paper,Winner,Contiguitas: The Pursuit of Physical Memory Contiguity in Datacenters,Kaiyang Zhao|Kaiwen Xue|Ziqi Wang|Dan Schatzberg|Leon Yang|Antonis Manousis|Johannes Weiner|Rik van Riel|Bikash Sharma|Chunqiang Tang|Dimitrios Skarlatos,ISCA-2023-P0084,10.1145/3579371.3589079,https://www.sigarch.org/other-announcements/congratulating-isca-2023-awards-recipients/,https://doi.org/10.1145/3579371.3589079,https://doi.org/10.1145/3579371.3589079,https://dblp.org/rec/conf/isca/ZhaoXWSYMWRST023,ISCA 2023 official award recipients page,https://www.sigarch.org/other-announcements/congratulating-isca-2023-awards-recipients/,official_page,primary,verified,high,none,,T10,T01;T06;T11;T12,memory|pim|storage|cache|data_movement,milestone,yes,Venue award/artifact signal only; long-term impact remains impact_unverified unless separately cited.,,Memory/PIM/storage. SIGARCH ISCA 2023 awards-recipient post lists this as one of two ISCA Best Paper Award winners.
ISCA-2023-A10,ISCA,ISCA,2023,complete,ISCA Best Paper Award,best_paper,Winner,SCALO: An Accelerator-Rich Distributed System for Scalable Brain-Computer Interfacing,Karthik Sriram|Raghavendra Pradyumna Pothukuchi|Michal Gerasimiuk|Muhammed Ugur|Oliver Ye|Rajit Manohar|Anurag Khandelwal|Abhishek Bhattacharjee,ISCA-2023-P0069,10.1145/3579371.3589107,https://www.sigarch.org/other-announcements/congratulating-isca-2023-awards-recipients/,https://doi.org/10.1145/3579371.3589107,https://doi.org/10.1145/3579371.3589107,https://dblp.org/rec/conf/isca/SriramPGUYMKB23,ISCA 2023 official award recipients page,https://www.sigarch.org/other-announcements/congratulating-isca-2023-awards-recipients/,official_page,primary,verified,high,none,,T06/T07,T09;T10;T12,domain_specific|genomics|scientific|bci|packet,milestone,yes,Venue award/artifact signal only; long-term impact remains impact_unverified unless separately cited.,,Domain-specific. SIGARCH ISCA 2023 awards-recipient post lists this as one of two ISCA Best Paper Award winners.
