award_id,venue_id,venue_name,year,year_status,award_name,award_category,award_rank,title,authors,paper_id,doi,official_url,proceedings_url,publisher_url,secondary_url,source_title,source_url,source_type,source_priority,verification_status,confidence,conflict_status,conflict_notes,topic_primary,topic_secondary,topic_tags,representative_role,milestone_candidate,impact_notes,missing_fields,notes
ICCAD-2025-A01,ICCAD,ICCAD,2025,complete,William J. McCalla ICCAD Best Paper Award,best_paper,Front-End Award,LaZagna: An Open-Source Framework for Flexible 3D FPGA Architectural Exploration,Ismael Youssef|Hang Yang|Cong Hao,ICCAD-2025-P0280,10.1109/ICCAD66269.2025.11240893,https://ieee-ceda.org/awards/awards-recognitions/william-j-mccalla-award,https://doi.org/10.1109/ICCAD66269.2025.11240893,https://doi.org/10.1109/ICCAD66269.2025.11240893,https://dblp.org/rec/conf/iccad/YoussefYH25,William J. McCalla ICCAD Best Paper Award | IEEE CEDA,https://ieee-ceda.org/awards/awards-recognitions/william-j-mccalla-award,official_page,primary,verified,high,minor,"CEDA award total page, ICCAD 2025 program PDF, and CEDA LaZagna media page support Ismael Youssef|Hang Yang|Cong Hao; 2025 CEDA announcement page appears to list the 2024 LLM paper authors under LaZagna.",T07/T06,hls_fpga_reconfigurable_compilation,fpga,frontier,yes,Official ICCAD award row; long-term impact beyond award status requires separate citation/artifact audit.,,"HLS, FPGA, reconfigurable compilation, and DSE"
ICCAD-2025-A02,ICCAD,ICCAD,2025,complete,William J. McCalla ICCAD Best Paper Award,best_paper,Back-End Award,Semidefinite Programming-Based Decoupling Capacitor Placement for Power Distribution Network Optimization,Zong-Ying Cai|Wei-Han Mao|Yao-Wen Chang|Yang Lu|Jerry Bai|Bin-Chyi Tseng,ICCAD-2025-P0012,10.1109/ICCAD66269.2025.11240747,https://ieee-ceda.org/awards/awards-recognitions/william-j-mccalla-award,https://doi.org/10.1109/ICCAD66269.2025.11240747,https://doi.org/10.1109/ICCAD66269.2025.11240747,https://dblp.org/rec/conf/iccad/CaiMCLBT25,William J. McCalla ICCAD Best Paper Award | IEEE CEDA,https://ieee-ceda.org/awards/awards-recognitions/william-j-mccalla-award,official_page,primary,verified,high,none,,T12/T10,placement_routing_floorplan_clock,placement,milestone,yes,Official ICCAD award row; long-term impact beyond award status requires separate citation/artifact audit.,,"Placement, routing, floorplanning, and clock design"
ICCAD-2025-A03,ICCAD,ICCAD,2025,complete,William J. McCalla ICCAD Best Paper Award,test_of_time,Ten-Year Retrospective Most Influential Paper,Caffeine: Towards uniformed representation and acceleration for deep convolutional neural networks,Chen Zhang|Zhenman Fang|Peipei Zhou|Peichen Pan|Jason Cong,ICCAD-2016-P0129,10.1145/2966986.2967011,https://ieee-ceda.org/awards/awards-recognitions/william-j-mccalla-award,https://doi.org/10.1145/2966986.2967011,https://doi.org/10.1145/2966986.2967011,https://ieee-ceda.org/media/caffeine-towards-uniformed-representation-and-acceleration-deep-convolutional-neural-0,William J. McCalla ICCAD Best Paper Award | IEEE CEDA,https://ieee-ceda.org/awards/awards-recognitions/william-j-mccalla-award,official_page,primary,verified,high,minor,CEDA media page and paper DOI list the local 5-author ICCAD paper; a CEDA announcement/newsletter source includes an additional author variant.,T02/T07,ai_model_accelerator_hw_sw_codesign,neural_network|deep_convolutional|caffeine,milestone,yes,Official ICCAD award row; long-term impact beyond award status requires separate citation/artifact audit.,,AI model accelerators and hardware-software co-design
ICCAD-2024-A04,ICCAD,ICCAD,2024,complete,William J. McCalla ICCAD Best Paper Award,best_paper,Front-End Award,An Agile Framework for Efficient LLM Accelerator Development and Model Inference,Lvcheng Chen|Ying Wu|Chenyi Wen|Shizhang Wang|Li Zhang|Bei Yu|Qi Sun|Cheng Zhuo,ICCAD-2024-P0035,10.1145/3676536.3676753,https://ieee-ceda.org/awards/awards-recognitions/william-j-mccalla-award,https://doi.org/10.1145/3676536.3676753,https://doi.org/10.1145/3676536.3676753,https://dblp.org/rec/conf/iccad/ChenWWWZYSZ24,William J. McCalla ICCAD Best Paper Award | IEEE CEDA,https://ieee-ceda.org/awards/awards-recognitions/william-j-mccalla-award,official_page,primary,verified,high,none,,T02/T07,ai_model_accelerator_hw_sw_codesign,llm|model_inference|accelerator,frontier,yes,Official ICCAD award row; long-term impact beyond award status requires separate citation/artifact audit.,,AI model accelerators and hardware-software co-design
ICCAD-2024-A05,ICCAD,ICCAD,2024,complete,William J. McCalla ICCAD Best Paper Award,best_paper,Back-End Award,A Neural-Ordinary-Differential-Equations Based Generic Approach for Process Modeling in DTCO: A Case Study in Chemical-Mechanical Planarization and Copper Plating,Yue Qian|Lan Chen,ICCAD-2024-P0152,10.1145/3676536.3676647,https://ieee-ceda.org/awards/awards-recognitions/william-j-mccalla-award,https://doi.org/10.1145/3676536.3676647,https://doi.org/10.1145/3676536.3676647,https://dblp.org/rec/conf/iccad/QianC24,William J. McCalla ICCAD Best Paper Award | IEEE CEDA,https://ieee-ceda.org/awards/awards-recognitions/william-j-mccalla-award,official_page,primary,verified,high,none,,T12/T10,timing_power_thermal_reliability_signoff,dtco,milestone,yes,Official ICCAD award row; long-term impact beyond award status requires separate citation/artifact audit.,,"Timing, power, thermal, reliability, and signoff"
ICCAD-2024-A06,ICCAD,ICCAD,2024,complete,William J. McCalla ICCAD Best Paper Award,test_of_time,Ten-Year Retrospective Most Influential Paper,OpenTimer: A high-performance timing analysis tool,Tsung-Wei Huang|Martin D. F. Wong,,10.1109/ICCAD.2015.7372666,https://ieee-ceda.org/awards/awards-recognitions/william-j-mccalla-award,,https://doi.org/10.1109/ICCAD.2015.7372666,https://ieee-ceda.org/media/opentimer-high-performance-timing-analysis-tool,William J. McCalla ICCAD Best Paper Award | IEEE CEDA,https://ieee-ceda.org/awards/awards-recognitions/william-j-mccalla-award,official_page,primary,verified,high,none,,T12/T10,timing_power_thermal_reliability_signoff,timing,tool_benchmark,yes,Official ICCAD award row; long-term impact beyond award status requires separate citation/artifact audit.,paper_id,"Timing, power, thermal, reliability, and signoff; Ten-year retrospective source paper is outside the 2016-2025 local corpus; keep paper_id blank unless corpus expands to 2015."
ICCAD-2023-A07,ICCAD,ICCAD,2023,complete,William J. McCalla ICCAD Best Paper Award,best_paper,Front-End Category,Striving for Both Quality and Speed: Logic Synthesis for Practical Garbled Circuits,Mingfei Yu|Giovanni De Micheli,ICCAD-2023-P0185,10.1109/ICCAD57390.2023.10323660,https://ieee-ceda.org/awards/awards-recognitions/william-j-mccalla-award,https://doi.org/10.1109/ICCAD57390.2023.10323660,https://doi.org/10.1109/ICCAD57390.2023.10323660,https://dblp.org/rec/conf/iccad/YuM23,William J. McCalla ICCAD Best Paper Award | IEEE CEDA,https://ieee-ceda.org/awards/awards-recognitions/william-j-mccalla-award,official_page,primary,verified,high,none,,T12/T11,hardware_security_privacy_trust,garbled,milestone,yes,Official ICCAD award row; long-term impact beyond award status requires separate citation/artifact audit.,,"Hardware security, privacy, and trust"
ICCAD-2023-A08,ICCAD,ICCAD,2023,complete,William J. McCalla ICCAD Best Paper Award,best_paper,Back-End Category,Improving Realistic Worst-Case Performance of NVCiM DNN Accelerators Through Training with Right-Censored Gaussian Noise,Zheyu Yan|Yifan Qin|Wujie Wen|X. Sharon Hu|Yiyu Shi,ICCAD-2023-P0176,10.1109/ICCAD57390.2023.10323830,https://ieee-ceda.org/awards/awards-recognitions/william-j-mccalla-award,https://doi.org/10.1109/ICCAD57390.2023.10323830,https://doi.org/10.1109/ICCAD57390.2023.10323830,https://dblp.org/rec/conf/iccad/YanQWHS23,William J. McCalla ICCAD Best Paper Award | IEEE CEDA,https://ieee-ceda.org/awards/awards-recognitions/william-j-mccalla-award,official_page,primary,verified,high,none,,T02/T07,ai_model_accelerator_hw_sw_codesign,dnn|accelerator,frontier,yes,Official ICCAD award row; long-term impact beyond award status requires separate citation/artifact audit.,,AI model accelerators and hardware-software co-design
ICCAD-2023-A09,ICCAD,ICCAD,2023,complete,William J. McCalla ICCAD Best Paper Award,test_of_time,Ten-Year Retrospective Most Influential Paper,Reduction and IR-drop compensations techniques for reliable neuromorphic computing systems,Beiye Liu|Hai Li|Yiran Chen|Xin Li|Tingwen Huang|Qing Wu|Mark Barnell,,10.1109/ICCAD.2014.7001330,https://ieee-ceda.org/awards/awards-recognitions/william-j-mccalla-award,,https://doi.org/10.1109/ICCAD.2014.7001330,https://ieee-ceda.org/media/reduction-and-ir-drop-compensations-techniques-reliable-neuromorphic-computing-systems,William J. McCalla ICCAD Best Paper Award | IEEE CEDA,https://ieee-ceda.org/awards/awards-recognitions/william-j-mccalla-award,official_page,primary,verified,high,none,,T10/T05,cim_pim_emerging_memory_unconventional_accel,neuromorphic,milestone,yes,Official ICCAD award row; long-term impact beyond award status requires separate citation/artifact audit.,paper_id,"CIM, PIM, emerging memory, and unconventional accelerators; Ten-year retrospective source paper is outside the 2016-2025 local corpus; keep paper_id blank unless corpus expands to 2014."
ICCAD-2022-A10,ICCAD,ICCAD,2022,complete,William J. McCalla ICCAD Best Paper Award,best_paper,Front-End Award,Attack Directories on ARM big.LITTLE Processors,Zili Kou|Sharad Sinha|Wenjian He|Wei Zhang,ICCAD-2022-P0067,10.1145/3508352.3549340,https://ieee-ceda.org/awards/awards-recognitions/william-j-mccalla-award,https://doi.org/10.1145/3508352.3549340,https://doi.org/10.1145/3508352.3549340,https://dblp.org/rec/conf/iccad/KouSHZ22,William J. McCalla ICCAD Best Paper Award | IEEE CEDA,https://ieee-ceda.org/awards/awards-recognitions/william-j-mccalla-award,official_page,primary,verified,high,none,,T12/T11,hardware_security_privacy_trust,attack,milestone,yes,Official ICCAD award row; long-term impact beyond award status requires separate citation/artifact audit.,,"Hardware security, privacy, and trust"
