field_id,domain,workload_id,metric_name,metric_definition,unit,collection_method,required_hardware_or_tool,used_by_papers_or_benchmarks,interpretation_notes,source_urls,verification_status,notes
"PF-3D-001","3dgs_neural_rendering","WA-WL-3D-001","gaussian_primitive_count","Number of active Gaussian primitives loaded or rendered for a scene or frame.","count","Read checkpoint metadata, renderer statistics, or paper artifact logs.","3DGS codebase; renderer logs; gsplat or Nerfstudio statistics","3DGS; LightGaussian; GSCore; GCC","Quality, memory and frame time can all change with pruning or densification; record scene and quality target.","https://arxiv.org/abs/2308.04079; https://github.com/graphdeco-inria/gaussian-splatting; https://github.com/nerfstudio-project/gsplat","verified","No local scene was rendered."
"PF-3D-002","3dgs_neural_rendering","WA-WL-3D-001","frame_latency","Elapsed time from camera input to rendered RGB frame.","ms/frame","Renderer timer, GPU event timing, Nsight timeline, or paper-reported frame time.","GPU runtime profiler; FPGA board timer; ASIC simulator or chip measurement","3DGS; GSCore; A-SSCC Gaussian Splats processor","FPS hides tail and resolution differences; record resolution, scene, quality and warmup policy.","https://arxiv.org/abs/2308.04079; https://pure.kaist.ac.kr/en/publications/a-666-fps-high-quality-gaussian-splats-rendering-fpga-processor-w/; https://arxiv.org/abs/2507.15300","verified","Use with PF-3D-005 for quality-normalized comparisons."
"PF-3D-003","3dgs_neural_rendering","WA-WL-3D-001","rasterizer_stage_time","Time split across culling, projection, binning, sorting and alpha blending.","ms or percent","Instrument renderer stages or use timeline/profiler regions.","Renderer source instrumentation; Nsight Systems/Compute; FPGA trace counters","GSCore; GCC; A-SSCC Gaussian Splats processor","Stage names are not standardized across renderers; align definitions before comparing papers.","https://github.com/nerfstudio-project/gsplat; https://asplos-conference.org/asplos2024/main-program/abstracts/index.html; https://pure.kaist.ac.kr/en/publications/a-666-fps-high-quality-gaussian-splats-rendering-fpga-processor-w/","verified","Record whether sort and blend are fused."
"PF-3D-004","3dgs_neural_rendering","WA-WL-3D-001","tile_list_or_sort_length","Distribution of Gaussians assigned to screen tiles or sorted per tile.","items/tile; count","Collect per-tile lists from renderer instrumentation or hardware counters.","3DGS rasterizer instrumentation; GPU profiler; FPGA custom counters","GCC; GSCore; 3DGauCIM; 3DGS accelerator rows","Averages hide hot tiles; record percentile or histogram, not only mean length.","https://arxiv.org/abs/2507.15300; https://doi.org/10.1109/MICRO61859.2024.00114; https://doi.org/10.1145/3620666.3651336","needs_review","Some accelerator sources are title/abstract or preprint level."
"PF-3D-005","3dgs_neural_rendering","WA-WL-3D-001","render_quality","Image quality of rendered views against held-out views.","PSNR; SSIM; LPIPS","Run benchmark evaluation script or read paper table for the same dataset/split.","Dataset ground truth; evaluation script; LPIPS implementation","3DGS; NerfBaselines; LightGaussian; MobileNeRF","Quality metrics are dataset- and split-sensitive; speedups without quality are incomplete.","https://github.com/nerfbaselines/nerfbaselines; https://arxiv.org/abs/2308.04079; https://arxiv.org/abs/2311.17245","verified","No evaluation script was run in this task."
"PF-3D-006","3dgs_neural_rendering","WA-WL-3D-003","optimizer_or_scene_memory","Peak memory footprint for Gaussian parameters, gradients, optimizer state and renderer buffers.","bytes; GB","Profiler memory peak, framework memory allocator logs, or paper-reported memory table.","CUDA memory profiler; PyTorch memory stats; system memory monitor","LightGaussian; CLM-GS; GS-Scale; BalanceGS","State size depends on densification/pruning schedule and precision; record training step or checkpoint.","https://arxiv.org/abs/2311.17245; https://github.com/nyu-systems/CLM-GS; https://github.com/SNU-ARC/GS-Scale.git","verified","Recent large-scene systems need separate artifact checks."
"PF-3D-007","3dgs_neural_rendering","WA-WL-3D-004","tracking_update_tail_latency","Tail latency of online tracking, map update and render steps in Gaussian-map SLAM.","ms; p95/p99 ms","Timestamp SLAM pipeline stages or use system profiler trace.","SplaTAM or SLAM implementation; GPU/CPU profiler; robot/AR sequence logs","SplaTAM; Gaussian Splatting SLAM; SGS-SLAM; GauSPU","Average FPS can miss control-loop failures; record per-stage tail latency and dropped frames.","https://github.com/spla-tam/SplaTAM; https://spla-tam.github.io/; https://arxiv.org/abs/2312.06741; https://doi.org/10.1109/MICRO61859.2024.00114","verified","No SLAM sequence was run."
"PF-LLM-001","llm_serving","WA-WL-LLM-001","time_to_first_token","Elapsed time from request arrival to first generated token.","ms","Serving benchmark client timestamp, engine logs or GenAI-Perf/LLMPerf output.","LLM serving engine; synchronized client clock; benchmark harness","vLLM; TensorRT-LLM; SGLang; GenAI-Perf; LLMPerf","TTFT mixes queueing, tokenization, prefill and network effects; record load and prompt length.","https://github.com/vllm-project/vllm; https://docs.nvidia.com/deeplearning/triton-inference-server/user-guide/docs/perf_analyzer/genai-perf/README.html; https://github.com/ray-project/llmperf","verified","No server was launched."
"PF-LLM-002","llm_serving","WA-WL-LLM-001","time_per_output_token","Average or percentile inter-token decode time after first token.","ms/token","Serving benchmark timestamps or engine decode-step metrics.","LLM server logs; benchmark harness; GPU profiler","Orca; vLLM; DistServe; TensorRT-LLM","Report prefill and decode separately; long output length can mask warmup and queue effects.","https://www.usenix.org/conference/osdi22/presentation/yu; https://www.usenix.org/conference/osdi24/presentation/zhong-yinmin; https://docs.vllm.ai/","verified","Use p50/p95/p99 when available."
"PF-LLM-003","llm_serving","WA-WL-LLM-001","serving_throughput","Generated tokens or completed requests served per unit time under a stated load.","tokens/s; requests/s","Load generator output; server counters; benchmark harness.","LLM serving engine; benchmark client; MLPerf LoadGen","vLLM benchmark; LLMPerf; GenAI-Perf; MLPerf Inference","Throughput without latency SLO can overstate useful capacity.","https://github.com/ray-project/llmperf; https://mlcommons.org/benchmarks/inference-datacenter/; https://github.com/mlcommons/inference","verified","Record prompt and output length distribution."
"PF-LLM-004","llm_serving","WA-WL-LLM-001","goodput_under_slo","Throughput that satisfies a specified latency SLO.","tokens/s within SLO; requests/s within SLO","Benchmark client classifies requests by latency threshold.","Serving benchmark harness; request trace","DistServe; Sarathi-Serve; LLMPerf","SLO definition must include TTFT, TPOT or end-to-end latency; do not compare different SLOs directly.","https://www.usenix.org/conference/osdi24/presentation/zhong-yinmin; https://arxiv.org/abs/2308.16369; https://github.com/ray-project/llmperf","verified","Use when comparing schedulers."
"PF-LLM-005","llm_serving","WA-WL-LLM-002","kv_cache_peak_memory","Peak memory consumed by KV cache and related allocator metadata.","bytes; GB","Engine memory counters, GPU memory profiler, or allocator page/block accounting.","vLLM/PagedAttention logs; CUDA memory profiler; engine instrumentation","vLLM/PagedAttention; KIVI; FlexGen; SGLang","Peak cache depends on active sequence lengths, block size, quantization and prefix reuse.","https://arxiv.org/abs/2309.06180; https://arxiv.org/abs/2402.02750; https://arxiv.org/abs/2303.06865; https://arxiv.org/abs/2312.07104","verified","Record model layers, heads and KV precision."
"PF-LLM-006","llm_serving","WA-WL-LLM-002","kv_bytes_per_token","Memory consumed per generated or stored token in the KV cache.","bytes/token","Calculate from model architecture and KV precision or read engine accounting.","Model config; serving engine allocator; profiler","vLLM; KIVI; FlexGen; PACT CXL/KV rows","Architecture-derived bytes ignore fragmentation; measured bytes include allocator policy.","https://arxiv.org/abs/2309.06180; https://arxiv.org/abs/2402.02750; https://arxiv.org/abs/2303.06865","verified","Separate logical KV size from physical reserved memory."
"PF-LLM-007","llm_serving","WA-WL-LLM-002","prefix_cache_hit_ratio","Fraction of prompt tokens or requests served from reusable prefix/cache state.","percent","Serving runtime cache statistics or request-trace replay.","SGLang/vLLM style prefix cache; workload trace","SGLang; RAG/agent serving benchmarks","High hit rate can hide compute but increase memory pressure; record eviction policy.","https://arxiv.org/abs/2312.07104; https://docs.vllm.ai/","needs_review","Runtime-specific metric names vary."
"PF-LLM-008","llm_serving","WA-WL-LLM-003","expert_or_draft_efficiency","Useful tokens produced per routing or draft-verification work unit in MoE/speculative decoding.","tokens/second; acceptance rate; expert load balance","Runtime counters for expert routing, draft acceptance and verification iterations.","MoE/speculative runtime instrumentation; GPU profiler","Switch Transformer; Mixtral; speculative decoding systems; TensorRT-LLM","A faster draft model is not enough if acceptance is low or routing is imbalanced.","https://arxiv.org/abs/2101.03961; https://arxiv.org/abs/2401.04088; https://arxiv.org/abs/2302.01318; https://github.com/NVIDIA/TensorRT-LLM","verified","Keep separate from dense decode throughput."
"PF-LLM-009","llm_serving","WA-WL-LLM-001","energy_per_token","Energy consumed per generated token under a stated load and measurement boundary.","J/token","Power meter integration, GPU/NPU telemetry, or board-level measurement divided by token count.","External power meter; NVML; board telemetry; datacenter power logs","MLPerf Power; LLM serving papers; edge LLM rows","Telemetry scope must be explicit: chip, board, node or wall power.","https://mlcommons.org/benchmarks/inference-datacenter/; https://docs.nvidia.com/deploy/nvml-api/","verified","No power measurement was taken."
"PF-ROB-001","robotics_edge_realtime","WA-WL-ROB-001","sensor_rate_and_deadline","Input sensor frequency and maximum allowed processing latency for closed-loop operation.","Hz; ms","Read dataset/robot timestamps and application deadline configuration.","Robot middleware logs; ROS 2 traces; dataset timestamps","ORB-SLAM3; VINS-Mono; SLAMBench2; RobotPerf","A benchmark can be accurate but unusable if it misses the sensor deadline.","https://projects.asl.ethz.ch/datasets/euroc-mav/; https://github.com/pamela-project/slambench; https://github.com/robotperf/benchmarks","verified","Record dropped frames separately."
"PF-ROB-002","robotics_edge_realtime","WA-WL-ROB-001","slam_tracking_latency","Latency of front-end tracking or pose-estimation update per sensor frame.","ms; p95/p99 ms","Instrument SLAM stage timestamps or use tracing middleware.","SLAM implementation; ROS 2 trace; CPU/GPU profiler","ORB-SLAM3; DSO; VINS-Mono; DROID-SLAM","Tail latency and relocalization cases should not be collapsed into a mean.","https://github.com/UZ-SLAMLab/ORB_SLAM3; https://arxiv.org/abs/1607.02565; https://arxiv.org/abs/1708.03852","verified","No trajectory replay was run."
"PF-ROB-003","robotics_edge_realtime","WA-WL-ROB-002","map_update_or_query_latency","Time to update or query map structures such as voxel, octree, ESDF or collision maps.","ms/query; ms/update","Instrument mapping/planning code around update and query calls.","OctoMap; Voxblox; OMPL; profiler traces","OctoMap; Voxblox; OMPL; planning accelerators","Input distribution matters: free-space updates, occupied voxels and collision checks differ.","https://doi.org/10.1007/s10514-012-9321-0; https://arxiv.org/abs/1611.03631; https://ompl.kavrakilab.org/","verified","Record map size and query/update mix."
"PF-ROB-004","robotics_edge_realtime","WA-WL-ROB-001","pose_accuracy","Trajectory accuracy against ground truth or reference trajectory.","ATE; RPE; drift percent","Dataset evaluation script or benchmark scoring tool.","EuRoC; KITTI; TUM RGB-D; SLAM evaluation scripts","ORB-SLAM3; SLAMBench2; RobotPerf","Accuracy can trade off against latency and power; compare only on the same sequence and settings.","https://projects.asl.ethz.ch/datasets/euroc-mav/; https://www.cvlibs.net/datasets/kitti/; https://cvg.cit.tum.de/data/datasets/rgbd-dataset","verified","No evaluation script was run."
"PF-ROB-005","robotics_edge_realtime","WA-WL-ROB-003","policy_action_latency","Time from observation availability to action output for VLA or learned policy inference.","ms/action; p95/p99 ms","Timestamp camera/state input and action output in inference loop.","Robot policy runtime; GPU/NPU profiler; ROS 2 trace","RT-1; RT-2; OpenVLA; OpenVLA-OFT; Diffusion Policy; ACT","Batch=1 and p99 latency matter more than cloud batch throughput for robot control.","https://github.com/openvla/openvla; https://github.com/moojink/openvla-oft; https://proceedings.mlr.press/v229/zitkovich23a.html; https://arxiv.org/abs/2303.04137","verified","Record action horizon/chunking."
"PF-ROB-006","robotics_edge_realtime","WA-WL-ROB-003","task_success_or_policy_quality","Task completion or policy quality on a named benchmark or robot task.","percent; score","Benchmark evaluator, simulator, or robot rollout logs.","LIBERO; Open X-Embodiment task suite; robot evaluation setup","OpenVLA; OpenVLA-OFT; LIBERO; DROID/Open X-Embodiment","Offline dataset score is not the same as real robot success.","https://libero-project.github.io/main.html; https://droid-dataset.github.io/; https://robotics-transformer-x.github.io/","verified","No rollout was performed."
"PF-ROB-007","robotics_edge_realtime","WA-WL-ROB-003","edge_power_or_thermal","Power draw and thermal behavior during robot workload execution.","W; J/action; temperature C","Board telemetry, external power meter or robot power rail logging.","Jetson/edge telemetry; power meter; SoC monitor","RobotPerf; edge VLA papers; embedded SLAM accelerators","Power must include the same scope across systems; thermal throttling changes latency.","https://github.com/robotperf/benchmarks; https://docs.nvidia.com/deploy/nvml-api/","needs_review","Hardware-specific tool names vary."
"PF-HPC-001","hpc_kernels","WA-WL-HPC-001","achieved_dense_throughput","Sustained dense linear-algebra or tensor-operation rate.","FLOP/s; TFLOP/s","Benchmark output, library profiler or hardware performance counter.","HPL; BLAS/cuBLAS/CUTLASS; MLPerf LoadGen; GPU profiler","HPL; GEMM benchmarks; MLPerf Inference","Dense FLOP/s is not comparable to sparse or graph workloads without workload context.","https://www.netlib.org/benchmark/hpl/; https://docs.nvidia.com/cuda/cublas/; https://github.com/NVIDIA/cutlass","verified","Record precision and problem size."
"PF-HPC-002","hpc_kernels","WA-WL-HPC-002","sparse_or_graph_rate","Useful sparse/graph work completed per second.","FLOP/s; TEPS; edges/s; rows/s","HPCG, Graph500, GAPBS or kernel-specific output.","HPCG; Graph500; GAPBS; sparse-kernel profiler","HPCG; GAPBS; Graph500","Sparse FLOP/s can be misleading; report graph/matrix statistics and memory traffic.","https://www.hpcg-benchmark.org/; https://graph500.org/; https://github.com/sbeamer/gapbs","verified","Separate BFS, SSSP, SpMV and PageRank."
"PF-HPC-003","hpc_kernels","WA-WL-HPC-001","arithmetic_intensity","Operations divided by data movement at a named memory level.","ops/byte","Roofline analysis from measured counters or analytic traffic model.","Profiler counters; Roofline tool; manual operation/byte model","Roofline method; Nsight Compute Roofline; HPC reports","The memory level must be explicit; DRAM bytes and cache bytes give different values.","https://www.osti.gov/biblio/1407073; https://docs.nvidia.com/nsight-compute/","verified","Use as bottleneck classifier, not final proof alone."
"PF-HPC-004","hpc_kernels","WA-WL-HPC-003","memory_bandwidth_or_traffic","Measured data movement or effective memory bandwidth for a kernel/application.","GB/s; bytes/op","Hardware counters, profiler memory metrics, or analytic model.","Nsight Compute; perf; ROCProfiler; FPGA memory counters","Roofline; PolyBench; Rodinia; HPCG","Effective bandwidth depends on cache policy, compression and input layout.","https://docs.nvidia.com/nsight-compute/; https://perf.wiki.kernel.org/index.php/Main_Page; https://rocm.docs.amd.com/projects/rocprofiler/en/latest/","verified","Record whether read, write and cache traffic are separated."
"PF-HPC-005","hpc_kernels","WA-WL-HPC-003","communication_or_synchronization_time","Time spent in communication, collectives, synchronization or global reductions.","seconds; percent","Timeline profiler, MPI instrumentation or benchmark phase timers.","Nsight Systems; MPI profiler; NAS/HPCG phase output","NAS; HPCG; distributed training/HPC rows","Overlap can hide communication; state whether overlapped time is included.","https://docs.nvidia.com/nsight-systems/UserGuide/index.html; https://www.nas.nasa.gov/software/npb.html; https://www.hpcg-benchmark.org/","verified","Useful for multi-node accelerator claims."
"PF-HPC-006","hpc_kernels","WA-WL-HPC-003","kernel_wall_time","Elapsed time for one kernel, benchmark phase or full benchmark invocation.","seconds; ms","Benchmark timer, trace range, or profiler event timing.","PolyBench; Rodinia; Parboil; Nsight Systems; perf","PolyBench; Rodinia; Parboil; NAS","Short kernels need repeated runs and warmup; report compiler flags and input size.","https://www.cs.colostate.edu/~pouchet/software/polybench/; https://rodinia.cs.virginia.edu/; https://impact.crhc.illinois.edu/parboil/parboil.aspx","verified","Do not mix host setup time with kernel-only time unless stated."
"PF-HPC-007","hpc_kernels","WA-WL-HPC-001","scaling_efficiency","Efficiency relative to ideal speedup as nodes, devices or cores increase.","percent","Compute from benchmark throughput or runtime at multiple scales.","HPL/HPCG/MLPerf logs; cluster scheduler records; profiler","HPL; HPCG; MLPerf; SC venue rows","Requires same problem scaling policy; weak and strong scaling differ.","https://www.netlib.org/benchmark/hpl/; https://www.hpcg-benchmark.org/; https://mlcommons.org/benchmarks/inference-datacenter/","verified","Record node count, interconnect and scaling mode."
"PF-FPGA-001","fpga_hls","WA-WL-FPGA-001","resource_utilization","FPGA resource consumption after HLS, synthesis or implementation.","LUT; FF; BRAM; URAM; DSP count and percent","Read HLS, synthesis or implementation reports.","Vitis HLS; Vivado; Intel Quartus; vendor report parser","Vitis HLS papers; Rosetta; HeteroCL; TAPA/AutoSA rows","Resource percent is not runtime utilization; post-implementation is more reliable than HLS estimate.","https://docs.amd.com/r/en-US/ug1399-vitis-hls; https://github.com/cornell-zhang/rosetta; https://github.com/UCLA-VAST/AutoSA","verified","State report stage."
"PF-FPGA-002","fpga_hls","WA-WL-FPGA-001","fmax_and_timing_slack","Achieved or estimated clock frequency and timing margin.","MHz; ns","Read synthesis/implementation timing reports or board clock configuration.","Vitis/Vivado timing reports; board build logs","FPGA/FCCM/FPL HLS rows","A high HLS-estimated clock can fail during implementation; record timing-closed status.","https://docs.amd.com/r/en-US/ug1399-vitis-hls","verified","Use negative slack as failed timing closure."
