paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
DAC-2021-P0001,DAC,Design Automation Conference,2021,complete,3D-Adv: Black-Box Physical Adversarial Attacks against Deep Learning Models through 3D Sensors,,Research Manuscript,,accepted_paper,,,,,,,https://58dac.conference-program.com/?post_type=page&p=13&id=RESEARCH1200&sess=sess147,https://58dac.conference-program.com/search-program/,,2021 DAC Linklings search program,https://58dac.conference-program.com/search-program/,official_page,primary,verified,high,DAC-T07,Chiplet 2.5D 3DIC heterogeneous integration,Security|Hardware Security: Attack and Defense|Presented In-Person,DAC-T07,Chiplet 2.5D 3DIC heterogeneous integration,provisional,Title/session/topic based Linklings clustering.,,,,,none,,,maybe,authors,
DAC-2021-P0002,DAC,Design Automation Conference,2021,complete,A Bridge-based Compression Algorithm for Topological Quantum Circuits,,Research Manuscript,,accepted_paper,,,,,,,https://58dac.conference-program.com/?post_type=page&p=13&id=RESEARCH696&sess=sess288,https://58dac.conference-program.com/search-program/,,2021 DAC Linklings search program,https://58dac.conference-program.com/search-program/,official_page,primary,verified,high,DAC-T11,Emerging devices quantum neuromorphic computing,Design|Quantum Computing|Hosted in Virtual Platform,DAC-T11,Emerging devices quantum neuromorphic computing,provisional,Title/session/topic based Linklings clustering.,,,,,none,,,maybe,authors,
DAC-2021-P0003,DAC,Design Automation Conference,2021,complete,A Charge-Sharing based 8T SRAM In-Memory Computing for Edge DNN Acceleration,,Research Manuscript,,accepted_paper,,,,,,,https://58dac.conference-program.com/?post_type=page&p=13&id=RESEARCH168&sess=sess119,https://58dac.conference-program.com/search-program/,,2021 DAC Linklings search program,https://58dac.conference-program.com/search-program/,official_page,primary,verified,high,DAC-T04,PIM near-memory and memory-centric acceleration,Design|AI/ML System Design|Hosted in Virtual Platform,DAC-T04,PIM near-memory and memory-centric acceleration,provisional,Title/session/topic based Linklings clustering.,,,,,none,,,maybe,authors,
DAC-2021-P0004,DAC,Design Automation Conference,2021,complete,A Complete PCB Routing Methodology with Concurrent Hierarchical Routing,,Research Manuscript,,accepted_paper,,,,,,,https://58dac.conference-program.com/?post_type=page&p=13&id=RESEARCH879&sess=sess163,https://58dac.conference-program.com/search-program/,,2021 DAC Linklings search program,https://58dac.conference-program.com/search-program/,official_page,primary,verified,high,DAC-T06,Physical design placement routing timing closure,"EDA|Physical Design and Verification, Lithography and DFM|Hosted in Virtual Platform",DAC-T06,Physical design placement routing timing closure,provisional,Title/session/topic based Linklings clustering.,,,,,none,,,maybe,authors,
DAC-2021-P0005,DAC,Design Automation Conference,2021,complete,A Compute-in-Memory Architecture Compatible with 3D NAND Flash that Parallelly Activates Multi-Layers,,Research Manuscript,,accepted_paper,,,,,,,https://58dac.conference-program.com/?post_type=page&p=13&id=RESEARCH463&sess=sess281,https://58dac.conference-program.com/search-program/,,2021 DAC Linklings search program,https://58dac.conference-program.com/search-program/,official_page,primary,verified,high,DAC-T07,Chiplet 2.5D 3DIC heterogeneous integration,Embedded Systems|Near-Memory and In-Memory Computing|Hosted in Virtual Platform,DAC-T07,Chiplet 2.5D 3DIC heterogeneous integration,provisional,Title/session/topic based Linklings clustering.,,,,,none,,,maybe,authors,
DAC-2021-P0006,DAC,Design Automation Conference,2021,complete,A Finer-Grained Blocking Analysis for Parallel Real-Time Tasks with Spin-Locks,,Research Manuscript,,accepted_paper,,,,,,,https://58dac.conference-program.com/?post_type=page&p=13&id=RESEARCH999&sess=sess306,https://58dac.conference-program.com/search-program/,,2021 DAC Linklings search program,https://58dac.conference-program.com/search-program/,official_page,primary,verified,high,DAC-T10,Autonomous embedded CPS real-time systems,Embedded Systems|Time-Critical System Design|Hosted in Virtual Platform,DAC-T10,Autonomous embedded CPS real-time systems,provisional,Title/session/topic based Linklings clustering.,,,,,none,,,maybe,authors,
DAC-2021-P0007,DAC,Design Automation Conference,2021,complete,A Formal Approach to Confidentiality Verification in SoCs at the Register Transfer Level,,Research Manuscript,,accepted_paper,,,,,,,https://58dac.conference-program.com/?post_type=page&p=13&id=RESEARCH957&sess=sess149,https://58dac.conference-program.com/search-program/,,2021 DAC Linklings search program,https://58dac.conference-program.com/search-program/,official_page,primary,verified,high,DAC-T08,Verification validation test and silicon lifecycle,Security|Embedded and Cross-Layer Security|Presented In-Person,DAC-T08,Verification validation test and silicon lifecycle,provisional,Title/session/topic based Linklings clustering.,,,,,none,,,maybe,authors,
DAC-2021-P0008,DAC,Design Automation Conference,2021,complete,A Framework for Optimizing CPU-iGPU Communication on Embedded Platforms,,Research Manuscript,,accepted_paper,,,,,,,https://58dac.conference-program.com/?post_type=page&p=13&id=RESEARCH1014&sess=sess162,https://58dac.conference-program.com/search-program/,,2021 DAC Linklings search program,https://58dac.conference-program.com/search-program/,official_page,primary,verified,high,DAC-T10,Autonomous embedded CPS real-time systems,Embedded Systems|Embedded Software|Hosted in Virtual Platform,DAC-T10,Autonomous embedded CPS real-time systems,provisional,Title/session/topic based Linklings clustering.,,,,,none,,,maybe,authors,
DAC-2021-P0009,DAC,Design Automation Conference,2021,complete,A Lightweight Isolation Mechanism for Secure Branch Predictors,,Research Manuscript,,accepted_paper,,,,,,,https://58dac.conference-program.com/?post_type=page&p=13&id=RESEARCH302&sess=sess307,https://58dac.conference-program.com/search-program/,,2021 DAC Linklings search program,https://58dac.conference-program.com/search-program/,official_page,primary,verified,high,DAC-T08,Verification validation test and silicon lifecycle,"Security|Hardware Security: Primitives, Architecture, Design & Test|Hosted in Virtual Platform",DAC-T08,Verification validation test and silicon lifecycle,provisional,Title/session/topic based Linklings clustering.,,,,,none,,,maybe,authors,
DAC-2021-P0010,DAC,Design Automation Conference,2021,complete,"A New, Computationally Efficient “Blech Criterion” for Immortality in General Interconnects",,Research Manuscript,,accepted_paper,,,,,,,https://58dac.conference-program.com/?post_type=page&p=13&id=RESEARCH1036&sess=sess134,https://58dac.conference-program.com/search-program/,,2021 DAC Linklings search program,https://58dac.conference-program.com/search-program/,official_page,primary,verified,high,DAC-T08,Verification validation test and silicon lifecycle,EDA|Manufacturing Test and Reliability|Presented In-Person,DAC-T08,Verification validation test and silicon lifecycle,provisional,Title/session/topic based Linklings clustering.,,,,,none,,,maybe,authors,
DAC-2021-P0011,DAC,Design Automation Conference,2021,complete,A Provably Good and Practically Efficient Algorithm for Common Path Pessimism Removal in Large Designs,,Research Manuscript,,accepted_paper,,,,,,,https://58dac.conference-program.com/?post_type=page&p=13&id=RESEARCH471&sess=sess299,https://58dac.conference-program.com/search-program/,,2021 DAC Linklings search program,https://58dac.conference-program.com/search-program/,official_page,primary,verified,high,DAC-T06,Physical design placement routing timing closure,"EDA|Digital Design, Timing and Simulation|Hosted in Virtual Platform",DAC-T06,Physical design placement routing timing closure,provisional,Title/session/topic based Linklings clustering.,,,,,none,,,maybe,authors,
DAC-2021-P0012,DAC,Design Automation Conference,2021,complete,A Resource Binding Approach to Logic Obfuscation*,,Research Manuscript,,accepted_paper,,,,,,,https://58dac.conference-program.com/?post_type=page&p=13&id=RESEARCH933&sess=sess145,https://58dac.conference-program.com/search-program/,,2021 DAC Linklings search program,https://58dac.conference-program.com/search-program/,official_page,primary,verified,high,DAC-T08,Verification validation test and silicon lifecycle,"Security|Hardware Security: Primitives, Architecture, Design & Test|Presented In-Person",DAC-T08,Verification validation test and silicon lifecycle,provisional,Title/session/topic based Linklings clustering.,,,,,none,,,maybe,authors,
DAC-2021-P0013,DAC,Design Automation Conference,2021,complete,A Two-Stage Neural Network Classifier for Data Imbalanced Problem with Application to Hotspot Detection,,Research Manuscript,,accepted_paper,,,,,,,https://58dac.conference-program.com/?post_type=page&p=13&id=RESEARCH650&sess=sess164,https://58dac.conference-program.com/search-program/,,2021 DAC Linklings search program,https://58dac.conference-program.com/search-program/,official_page,primary,verified,high,DAC-T03,AI/ML accelerator quantization-sparsity-dataflow,"EDA|Physical Design and Verification, Lithography and DFM|Presented In-Person",DAC-T03,AI/ML accelerator quantization-sparsity-dataflow,provisional,Title/session/topic based Linklings clustering.,,,,,none,,,maybe,authors,
DAC-2021-P0014,DAC,Design Automation Conference,2021,complete,A Unified DNN Weight Pruning Framework Using Reweighted Optimization Methods,,Research Manuscript,,accepted_paper,,,,,,,https://58dac.conference-program.com/?post_type=page&p=13&id=RESEARCH235&sess=sess289,https://58dac.conference-program.com/search-program/,,2021 DAC Linklings search program,https://58dac.conference-program.com/search-program/,official_page,primary,verified,high,DAC-T00,General DAC research manuscript,Design|Approximate Computing for AI/ML|Hosted in Virtual Platform,DAC-T00,General DAC research manuscript,uncertain,Title/session/topic based Linklings clustering.,,,,,none,,,no,authors,
DAC-2021-P0015,DAC,Design Automation Conference,2021,complete,A3C-S: Automated Agent Accelerator Co-Search towards Efficient Deep Reinforcement Learning,,Research Manuscript,,accepted_paper,,,,,,,https://58dac.conference-program.com/?post_type=page&p=13&id=RESEARCH1249&sess=sess157,https://58dac.conference-program.com/search-program/,,2021 DAC Linklings search program,https://58dac.conference-program.com/search-program/,official_page,primary,verified,high,DAC-T03,AI/ML accelerator quantization-sparsity-dataflow,Design|AI/ML System Design|Presented In-Person,DAC-T03,AI/ML accelerator quantization-sparsity-dataflow,provisional,Title/session/topic based Linklings clustering.,,,,,none,,,maybe,authors,
DAC-2021-P0016,DAC,Design Automation Conference,2021,complete,AdEle: An Adaptive Congestion-and-Energy-Aware Elevator Selection for Partially Connected 3D NoCs,,Research Manuscript,,accepted_paper,,,,,,,https://58dac.conference-program.com/?post_type=page&p=13&id=RESEARCH694&sess=sess125,https://58dac.conference-program.com/search-program/,,2021 DAC Linklings search program,https://58dac.conference-program.com/search-program/,official_page,primary,verified,high,DAC-T07,Chiplet 2.5D 3DIC heterogeneous integration,EDA|In-Package and On-Chip Communication and Networks-on-Chip|Presented In-Person,DAC-T07,Chiplet 2.5D 3DIC heterogeneous integration,provisional,Title/session/topic based Linklings clustering.,,,,,none,,,maybe,authors,
DAC-2021-P0017,DAC,Design Automation Conference,2021,complete,ADROIT: An Adaptive Dynamic Refresh Optimization Framework for DRAM Energy Saving in DNN Training,,Research Manuscript,,accepted_paper,,,,,,,https://58dac.conference-program.com/?post_type=page&p=13&id=RESEARCH249&sess=sess119,https://58dac.conference-program.com/search-program/,,2021 DAC Linklings search program,https://58dac.conference-program.com/search-program/,official_page,primary,verified,high,DAC-T00,General DAC research manuscript,Design|AI/ML System Design|Hosted in Virtual Platform,DAC-T00,General DAC research manuscript,uncertain,Title/session/topic based Linklings clustering.,,,,,none,,,no,authors,
DAC-2021-P0018,DAC,Design Automation Conference,2021,complete,AID: Attesting the Integrity of Deep Neural Networks,,Research Manuscript,,accepted_paper,,,,,,,https://58dac.conference-program.com/?post_type=page&p=13&id=RESEARCH1130&sess=sess284,https://58dac.conference-program.com/search-program/,,2021 DAC Linklings search program,https://58dac.conference-program.com/search-program/,official_page,primary,verified,high,DAC-T03,AI/ML accelerator quantization-sparsity-dataflow,Design|AI/ML System Design|Hosted in Virtual Platform,DAC-T03,AI/ML accelerator quantization-sparsity-dataflow,provisional,Title/session/topic based Linklings clustering.,,,,,none,,,maybe,authors,
DAC-2021-P0019,DAC,Design Automation Conference,2021,complete,An Automated and Process-Portable Generator for Phase-Locked Loop,,Research Manuscript,,accepted_paper,,,,,,,https://58dac.conference-program.com/?post_type=page&p=13&id=RESEARCH155&sess=sess121,https://58dac.conference-program.com/search-program/,,2021 DAC Linklings search program,https://58dac.conference-program.com/search-program/,official_page,primary,verified,high,DAC-T00,General DAC research manuscript,Design|Digital and Analog Circuits|Hosted in Virtual Platform,DAC-T00,General DAC research manuscript,uncertain,Title/session/topic based Linklings clustering.,,,,,none,,,no,authors,
DAC-2021-P0020,DAC,Design Automation Conference,2021,complete,An Efficient Algorithm for Sparse Quantum State Preparation,,Research Manuscript,,accepted_paper,,,,,,,https://58dac.conference-program.com/?post_type=page&p=13&id=RESEARCH387&sess=sess288,https://58dac.conference-program.com/search-program/,,2021 DAC Linklings search program,https://58dac.conference-program.com/search-program/,official_page,primary,verified,high,DAC-T11,Emerging devices quantum neuromorphic computing,Design|Quantum Computing|Hosted in Virtual Platform,DAC-T11,Emerging devices quantum neuromorphic computing,provisional,Title/session/topic based Linklings clustering.,,,,,none,,,maybe,authors,
DAC-2021-P0021,DAC,Design Automation Conference,2021,complete,"An Energy-Efficient Low-Latency 3D-CNN Accelerator Leveraging Temporal Locality, Full Zero-Skipping, and Hierarchical Load Balance",,Research Manuscript,,accepted_paper,,,,,,,https://58dac.conference-program.com/?post_type=page&p=13&id=RESEARCH777&sess=sess283,https://58dac.conference-program.com/search-program/,,2021 DAC Linklings search program,https://58dac.conference-program.com/search-program/,official_page,primary,verified,high,DAC-T07,Chiplet 2.5D 3DIC heterogeneous integration,Design|AI/ML System Design|Hosted in Virtual Platform,DAC-T07,Chiplet 2.5D 3DIC heterogeneous integration,provisional,Title/session/topic based Linklings clustering.,,,,,none,,,maybe,authors,
DAC-2021-P0022,DAC,Design Automation Conference,2021,complete,An Intelligent Video Processing Architecture for Edge-cloud Video Streaming,,Research Manuscript,,accepted_paper,,,,,,,https://58dac.conference-program.com/?post_type=page&p=13&id=RESEARCH497&sess=sess287,https://58dac.conference-program.com/search-program/,,2021 DAC Linklings search program,https://58dac.conference-program.com/search-program/,official_page,primary,verified,high,DAC-T10,Autonomous embedded CPS real-time systems,Design|Design of Cyber-physical Systems and IoT|Hosted in Virtual Platform,DAC-T10,Autonomous embedded CPS real-time systems,provisional,Title/session/topic based Linklings clustering.,,,,,none,,,maybe,authors,
DAC-2021-P0023,DAC,Design Automation Conference,2021,complete,Analyzing and Improving Fault Tolerance of Learning-Based Navigation Systems,,Research Manuscript,,accepted_paper,,,,,,,https://58dac.conference-program.com/?post_type=page&p=13&id=RESEARCH1012&sess=sess102,https://58dac.conference-program.com/search-program/,,2021 DAC Linklings search program,https://58dac.conference-program.com/search-program/,official_page,primary,verified,high,DAC-T01,AI-for-EDA predictive design closure,Autonomous Systems|Presented In-Person,DAC-T01,AI-for-EDA predictive design closure,provisional,Title/session/topic based Linklings clustering.,,,,,none,,,maybe,authors,
DAC-2021-P0024,DAC,Design Automation Conference,2021,complete,Anonymous: Constructing Rectilinear Minimum Steiner Tree via Reinforcement Learning,,Research Manuscript,,accepted_paper,,,,,,,https://58dac.conference-program.com/?post_type=page&p=13&id=RESEARCH642&sess=sess163,https://58dac.conference-program.com/search-program/,,2021 DAC Linklings search program,https://58dac.conference-program.com/search-program/,official_page,primary,verified,high,DAC-T01,AI-for-EDA predictive design closure,"EDA|Physical Design and Verification, Lithography and DFM|Hosted in Virtual Platform",DAC-T01,AI-for-EDA predictive design closure,provisional,Title/session/topic based Linklings clustering.,,,,,none,,,maybe,authors,
