paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
A-SSCC-2016-P0001,A-SSCC,A-SSCC,2016,complete,A 3.2 mA-RX 3.5 mA-TX fully integrated SoC for Bluetooth Low Energy,Masayoshi Oshiro|Tatsuhiko Maruyama|Takashi Tokairin|Yuki Tuda|Tong Wang|Naotaka Koide|Yosuke Ogasawara|Tuan Thanh Ta|Hiroshi Yoshida|Kenichi Sami,,,accepted_paper,,,,,,,,https://www.proceedings.com/33408.html,,Researchr A-SSCC 2016 proceedings TOC,https://researchr.org/publication/OshiroMTTWKOTYS16,bib_index,secondary,needs_review,medium,T06/T10/T12,soc_chiplet_io_system,soc|chiplet|die_to_die|hbm|io|processor|memory_interface,ASSCC-T09,"SoC, chiplet, I/O, and system integration",provisional,Title/session-level provisional cluster from A-SSCC metadata; no batch abstract/keyword/full-text clustering.,,,,,none,,,no,doi,Parsed from Researchr/DBLP-derived TOC; DOI missing in TOC.
A-SSCC-2016-P0002,A-SSCC,A-SSCC,2016,complete,A 2GS/s 8b time-interleaved SAR ADC for millimeter-wave pulsed radar baseband SoC,Takuji Miki|Toshiaki Ozeki|Jun-ichi Naka,,,accepted_paper,10.1109/asscc.2016.7844121,,https://ieeexplore.ieee.org/document/7844121/,,,,,https://www.proceedings.com/33408.html,,Crossref A-SSCC DOI metadata + Researchr A-SSCC 2016 proceedings TOC,https://doi.org/10.1109/asscc.2016.7844121,publisher_index,primary,verified,high,T06/T10/T12,soc_chiplet_io_system,soc|chiplet|die_to_die|hbm|io|processor|memory_interface,ASSCC-T09,"SoC, chiplet, I/O, and system integration",provisional,Title/session-level provisional cluster from A-SSCC metadata; no batch abstract/keyword/full-text clustering.,,,,,none,,,no,,Parsed from Researchr/DBLP-derived TOC; DOI missing in TOC. DOI backfilled by parent agent on 2026-06-27 using strict Crossref title/container/year match; original source retained in proceedings_url/official_url where present.
A-SSCC-2016-P0003,A-SSCC,A-SSCC,2016,complete,"20 mV input, 4.2 V output SIDO boost converter with low-power controller and adaptive switch size selector for thermoelectric energy harvesting",Yosuke Toyama|Taichi Ogawa|Takeshi Ueno|Tetsuro Itakura,,,accepted_paper,10.1109/asscc.2016.7844122,,https://ieeexplore.ieee.org/document/7844122/,,,,,https://www.proceedings.com/33408.html,,Crossref A-SSCC DOI metadata + Researchr A-SSCC 2016 proceedings TOC,https://doi.org/10.1109/asscc.2016.7844122,publisher_index,primary,verified,high,T04/T12,power_clock_energy_pmic,power|pmic|dc_dc|ldo|clock|energy_harvesting,ASSCC-T07,"Power, clock, energy, and PMIC",provisional,Title/session-level provisional cluster from A-SSCC metadata; no batch abstract/keyword/full-text clustering.,,,,,none,,,no,,Parsed from Researchr/DBLP-derived TOC; DOI missing in TOC. DOI backfilled by parent agent on 2026-06-27 using strict Crossref title/container/year match; original source retained in proceedings_url/official_url where present.
A-SSCC-2016-P0004,A-SSCC,A-SSCC,2016,complete,A high efficiency wide-load-range asynchronous boost converter with time-based dual-mode control for SSD applications,Kyoungjin Lee|Haneul Kim|Jehyung Yoon|Hyoung-Seok Oh|Byeong-ha Park|Ho-Jin Park|Yoonmyung Lee,,,accepted_paper,10.1109/asscc.2016.7844123,,https://ieeexplore.ieee.org/document/7844123/,,,,,https://www.proceedings.com/33408.html,,Crossref A-SSCC DOI metadata + Researchr A-SSCC 2016 proceedings TOC,https://doi.org/10.1109/asscc.2016.7844123,publisher_index,primary,verified,high,T04/T12,power_clock_energy_pmic,power|pmic|dc_dc|ldo|clock|energy_harvesting,ASSCC-T07,"Power, clock, energy, and PMIC",provisional,Title/session-level provisional cluster from A-SSCC metadata; no batch abstract/keyword/full-text clustering.,,,,,none,,,no,,Parsed from Researchr/DBLP-derived TOC; DOI missing in TOC. DOI backfilled by parent agent on 2026-06-27 using strict Crossref title/container/year match; original source retained in proceedings_url/official_url where present.
A-SSCC-2016-P0005,A-SSCC,A-SSCC,2016,complete,2 28-nm pseudo 2-read/write dual-port SRAM using double pumping circuitry,Yuichiro Ishii|Makoto Yabuuchi|Yohei Sawada|Masao Morimoto|Yasumasa Tsukamoto|Yuta Yoshida|Ken Shibata|Toshiaki Sano|Shinji Tanaka|Koji Nii,,,accepted_paper,,,,,,,,https://www.proceedings.com/33408.html,,Researchr A-SSCC 2016 proceedings TOC,https://researchr.org/publication/IshiiYSMTYSSTN16,bib_index,secondary,needs_review,medium,T12,general solid-state circuit,solid_state_circuit,ASSCC-T10,Other / needs_review,provisional,No project-specific accelerator topic found from title/session; title-level provisional assignment.,,,,,none,,,no,doi,Parsed from Researchr/DBLP-derived TOC; DOI missing in TOC.
A-SSCC-2016-P0006,A-SSCC,A-SSCC,2016,complete,"An 8-bit, 16 input, 3.2 pJ/op switched-capacitor dot product circuit in 28-nm FDSOI CMOS",Daniel Bankman|Boris Murmann,,,accepted_paper,10.1109/asscc.2016.7844125,,https://ieeexplore.ieee.org/document/7844125/,,,,,https://www.proceedings.com/33408.html,,Crossref A-SSCC DOI metadata + Researchr A-SSCC 2016 proceedings TOC,https://doi.org/10.1109/asscc.2016.7844125,publisher_index,primary,verified,high,T01/T02/T05/T06/T08,edge_ai_dnn_transformer_llm,ai|dnn|cnn|transformer|llm|accelerator|inference|training,ASSCC-T01,DNN/Transformer/LLM and edge-AI accelerators,provisional,Title/session-level provisional cluster from A-SSCC metadata; no batch abstract/keyword/full-text clustering.,,,,,milestone,5,Early circuit primitive for neural-network dot-product energy efficiency.,yes,,Parsed from Researchr/DBLP-derived TOC; DOI missing in TOC. DOI backfilled by parent agent on 2026-06-27 using strict Crossref title/container/year match; original source retained in proceedings_url/official_url where present.
A-SSCC-2016-P0007,A-SSCC,A-SSCC,2016,complete,Time-domain neural network: A 48.5 TSOp/s/W neuromorphic chip optimized for deep learning and CMOS technology,Daisuke Miyashita|Shouhei Kousai|Tomoya Suzuki|Jun Deguchi,,,accepted_paper,10.1109/asscc.2016.7844126,,https://ieeexplore.ieee.org/document/7844126/,,,,,https://www.proceedings.com/33408.html,,Crossref A-SSCC DOI metadata + Researchr A-SSCC 2016 proceedings TOC,https://doi.org/10.1109/asscc.2016.7844126,publisher_index,primary,verified,high,T01/T02/T05/T06/T08,edge_ai_dnn_transformer_llm,ai|dnn|cnn|transformer|llm|accelerator|inference|training,ASSCC-T01,DNN/Transformer/LLM and edge-AI accelerators,provisional,Title/session-level provisional cluster from A-SSCC metadata; no batch abstract/keyword/full-text clustering.,,,,,milestone,5,Early time-domain / neuromorphic DNN silicon route.,yes,,Parsed from Researchr/DBLP-derived TOC; DOI missing in TOC. DOI backfilled by parent agent on 2026-06-27 using strict Crossref title/container/year match; original source retained in proceedings_url/official_url where present.
A-SSCC-2016-P0008,A-SSCC,A-SSCC,2016,complete,A series-SSHI-Phi interface circuit for piezoelectric energy harvesting with 163% improvement in extracted power at off-resonance,Chi-Huan Chen|Hung-Chen Chen|Yu-Shyang Huang|Ping-Hsuan Hsieh|Ping-Hsien Wu|Yi-Chung Shu,,,accepted_paper,,,,,,,,https://www.proceedings.com/33408.html,,Researchr A-SSCC 2016 proceedings TOC,https://researchr.org/publication/ChenCHHWS16,bib_index,secondary,needs_review,medium,T06/T10/T12,soc_chiplet_io_system,soc|chiplet|die_to_die|hbm|io|processor|memory_interface,ASSCC-T09,"SoC, chiplet, I/O, and system integration",provisional,Title/session-level provisional cluster from A-SSCC metadata; no batch abstract/keyword/full-text clustering.,,,,,none,,,no,doi,Parsed from Researchr/DBLP-derived TOC; DOI missing in TOC.
A-SSCC-2016-P0009,A-SSCC,A-SSCC,2016,complete,An area-efficient wideband CMOS hall sensor system for camera autofocus systems,Chih-Chan Tu|Kuan-Chung Chen|Tsung-Yu Wu|Tsung-Hsien Lin,,,accepted_paper,10.1109/asscc.2016.7844128,,https://ieeexplore.ieee.org/document/7844128/,,,,,https://www.proceedings.com/33408.html,,Crossref A-SSCC DOI metadata + Researchr A-SSCC 2016 proceedings TOC,https://doi.org/10.1109/asscc.2016.7844128,publisher_index,primary,verified,high,T03/T04/T11,sensor_vision_biomedical_soc,sensor|vision|biomedical|implant|wearable|lidar|audio|hearing,ASSCC-T04,"Sensor, vision, biomedical, and implant SoCs",provisional,Title/session-level provisional cluster from A-SSCC metadata; no batch abstract/keyword/full-text clustering.,,,,,none,,,no,,Parsed from Researchr/DBLP-derived TOC; DOI missing in TOC. DOI backfilled by parent agent on 2026-06-27 using strict Crossref title/container/year match; original source retained in proceedings_url/official_url where present.
A-SSCC-2016-P0010,A-SSCC,A-SSCC,2016,complete,A time delay multiple integration linear CMOS image sensor for multispectral satellite telemetry,Kuan-Lin Liu|Chih-Cheng Hsieh|Sheng-Yeh Lai|Chin-Fong Chiu,,,accepted_paper,10.1109/asscc.2016.7844129,,https://ieeexplore.ieee.org/document/7844129/,,,,,https://www.proceedings.com/33408.html,,Crossref A-SSCC DOI metadata + Researchr A-SSCC 2016 proceedings TOC,https://doi.org/10.1109/asscc.2016.7844129,publisher_index,primary,verified,high,T03/T04/T11,sensor_vision_biomedical_soc,sensor|vision|biomedical|implant|wearable|lidar|audio|hearing,ASSCC-T04,"Sensor, vision, biomedical, and implant SoCs",provisional,Title/session-level provisional cluster from A-SSCC metadata; no batch abstract/keyword/full-text clustering.,,,,,none,,,no,,Parsed from Researchr/DBLP-derived TOC; DOI missing in TOC. DOI backfilled by parent agent on 2026-06-27 using strict Crossref title/container/year match; original source retained in proceedings_url/official_url where present.
