award_id,venue_id,venue_name,year,year_status,award_name,award_category,award_rank,title,authors,paper_id,doi,official_url,proceedings_url,publisher_url,secondary_url,source_title,source_url,source_type,source_priority,verification_status,confidence,conflict_status,conflict_notes,topic_primary,topic_secondary,topic_tags,representative_role,milestone_candidate,impact_notes,missing_fields,notes
ICCD-2019-A01,ICCD,ICCD,2019,complete,ICCD Best Paper Award,best_paper,Winner,RRAMedy: Protecting ReRAM-based Neural Network from Permanent and Soft Faults During Its Lifetime,Wen Li|Ying Wang|Huawei Li|Xiaowei Li,ICCD-2019-P0012,10.1109/iccd46524.2019.00020,https://www.iccd-conf.com/2019/Home.html,https://doi.org/10.1109/iccd46524.2019.00020,https://doi.org/10.1109/iccd46524.2019.00020,https://dblp.uni-trier.de/db/conf/iccd/iccd2019.html,ICCD 2019 Home,https://www.iccd-conf.com/2019/Home.html,official_page,primary,verified,high,minor,Official candidate title differs from DOI title `RRAMedy: Protecting ReRAM-Based Neural Network from Permanent and Soft Faults During Its Lifetime`; linked by manual alias. ,T02/T05/T06,dnn_transformer_llm_accelerators,neural,frontier,yes,Official award/candidate status only; downstream impact was not citation-audited.,,"DNN, Transformer, and LLM accelerators"
ICCD-2021-A02,ICCD,ICCD,2021,complete,ICCD Best Paper Award,best_paper,Winner,"DynPaC: Coarse-Grained, Dynamic, and Partially Reconfigurable Array for Streaming Applications",Cheng Tan|Tong Geng|Chenhao Xie|Nicolas Bohm Agostini|Jiajia Li|Ang Li|Kevin Barker|Antonino Tumeo,ICCD-2021-P0010,10.1109/iccd53106.2021.00018,https://www.iccd-conf.com/2021/Program_2021.html,https://doi.org/10.1109/iccd53106.2021.00018,https://doi.org/10.1109/iccd53106.2021.00018,https://dblp.uni-trier.de/db/conf/iccd/iccd2021.html,ICCD 2021 Program,https://www.iccd-conf.com/2021/Program_2021.html,official_page,primary,verified,high,none,,T07/T06/T12,fpga_hls_reconfigurable_mapping,reconfigurable,milestone,yes,Official award/candidate status only; downstream impact was not citation-audited.,,"FPGA, HLS, and reconfigurable mapping"
ICCD-2023-A03,ICCD,ICCD,2023,complete,ICCD Best Paper Award,best_paper,Winner,HF-LDPC: HLS-friendly QC-LDPC FPGA Decoder with High Throughput and Flexibility,Yifan Zhang|Cao Qiang|Shaohua Wang|Jie Yao|Hong Jiang,ICCD-2023-P0081,10.1109/iccd58817.2023.00091,https://www.iccd-conf.com/2023/bestpaper.html,https://doi.org/10.1109/iccd58817.2023.00091,https://doi.org/10.1109/iccd58817.2023.00091,https://dblp.uni-trier.de/db/conf/iccd/iccd2023.html,ICCD 2023 Best Paper Award Information,https://www.iccd-conf.com/2023/bestpaper.html,official_page,primary,verified,high,none,,T07/T06/T12,fpga_hls_reconfigurable_mapping,fpga|hls|ldpc,milestone,yes,Official award/candidate status only; downstream impact was not citation-audited.,,"FPGA, HLS, and reconfigurable mapping"
ICCD-2023-A04,ICCD,ICCD,2023,complete,ICCD Best Paper Candidate,best_paper,Candidate,Low-Latency and Scalable Full-path Indexing Metadata Service for Distributed File Systems,Chao Dong|Fang Wang|Yuxin Yang|Mengya Lei|Jianshun Zhang|Dan Feng,ICCD-2023-P0042,10.1109/iccd58817.2023.00051,https://www.iccd-conf.com/2023/bestpaper.html,https://doi.org/10.1109/iccd58817.2023.00051,https://doi.org/10.1109/iccd58817.2023.00051,https://dblp.uni-trier.de/db/conf/iccd/iccd2023.html,ICCD 2023 Best Paper Award Information,https://www.iccd-conf.com/2023/bestpaper.html,official_page,primary,verified,high,none,,T01/T10,memory_pim_storage_data_movement,index,frontier,maybe,Official award/candidate status only; downstream impact was not citation-audited.,,"Memory systems, PIM, storage, and data movement"
ICCD-2023-A05,ICCD,ICCD,2023,complete,ICCD Best Paper Candidate,best_paper,Candidate,Revitalizing Buffered I/O: Optimization of Page Reclaim and I/O Throttling,Jongseok Kim|Chanu Yu|Euiseong Seo,ICCD-2023-P0068,10.1109/iccd58817.2023.00078,https://www.iccd-conf.com/2023/bestpaper.html,https://doi.org/10.1109/iccd58817.2023.00078,https://doi.org/10.1109/iccd58817.2023.00078,https://dblp.uni-trier.de/db/conf/iccd/iccd2023.html,ICCD 2023 Best Paper Award Information,https://www.iccd-conf.com/2023/bestpaper.html,official_page,primary,verified,high,minor,Official candidate title differs from DOI title `Revitalizing Buffered I/O: Optimizing Page Reclaim and I/O Throttling`; linked by manual alias. ,T11/T12,other_needs_review,needs_review,frontier,maybe,Official award/candidate status only; downstream impact was not citation-audited.,,Other computer-design proceedings rows needing review
ICCD-2023-A06,ICCD,ICCD,2023,complete,ICCD Best Paper Candidate,best_paper,Candidate,GIM: Versatile GNN Acceleration with Reconfigurable Processing-in-Memory,Chen Nie|Guoyang Chen|Weifeng Zhang|Zhezhi He,ICCD-2023-P0073,10.1109/iccd58817.2023.00083,https://www.iccd-conf.com/2023/bestpaper.html,https://doi.org/10.1109/iccd58817.2023.00083,https://doi.org/10.1109/iccd58817.2023.00083,https://dblp.uni-trier.de/db/conf/iccd/iccd2023.html,ICCD 2023 Best Paper Award Information,https://www.iccd-conf.com/2023/bestpaper.html,official_page,primary,verified,high,none,,T07/T06/T12,fpga_hls_reconfigurable_mapping,reconfigurable,milestone,maybe,Official award/candidate status only; downstream impact was not citation-audited.,,"FPGA, HLS, and reconfigurable mapping"
ICCD-2024-A07,ICCD,ICCD,2024,complete,ICCD Best Paper Candidate,best_paper,Candidate,AutoVCoder: A Systematic Framework for Automated Verilog Code Generation using LLMs,Mingzhe Gao|Jieru Zhao|Zhe Lin|Wenchao Ding|Xiaofeng Hou|Yu Feng|Chao Li|Minyi Guo,ICCD-2024-P0023,10.1109/iccd63220.2024.00033,https://www.iccd-conf.com/2024/bestpaper.html,https://doi.org/10.1109/iccd63220.2024.00033,https://doi.org/10.1109/iccd63220.2024.00033,https://dblp.uni-trier.de/db/conf/iccd/iccd2024.html,ICCD 2024 Best Paper Candidates,https://www.iccd-conf.com/2024/bestpaper.html,official_page,primary,verified,high,none,2024 official page lists candidates but does not identify a winner.,T07/T06/T12,fpga_hls_reconfigurable_mapping,verilog,frontier,maybe,Official award/candidate status only; downstream impact was not citation-audited.,,"FPGA, HLS, and reconfigurable mapping"
ICCD-2024-A08,ICCD,ICCD,2024,complete,ICCD Best Paper Candidate,best_paper,Candidate,BlinK: Breaking Parallel Implementation of CRYSTALS-Kyber with Side-Channel Attack,Jian Wang|Weiqiong Cao|Hua Chen|Haoyuan Li,ICCD-2024-P0016,10.1109/iccd63220.2024.00026,https://www.iccd-conf.com/2024/bestpaper.html,https://doi.org/10.1109/iccd63220.2024.00026,https://doi.org/10.1109/iccd63220.2024.00026,https://dblp.uni-trier.de/db/conf/iccd/iccd2024.html,ICCD 2024 Best Paper Candidates,https://www.iccd-conf.com/2024/bestpaper.html,official_page,primary,verified,high,minor,Official candidate title differs from DOI title `Blink: Breaking Parallel Implementation of Crystals-Kyber with Side-Channel Attack`; linked by manual alias. 2024 official page lists candidates but does not identify a winner.,T11/T12,reliability_security_test_verification,attack|side_channel,frontier,maybe,Official award/candidate status only; downstream impact was not citation-audited.,,"Reliability, security, test, and verification"
ICCD-2024-A09,ICCD,ICCD,2024,complete,ICCD Best Paper Candidate,best_paper,Candidate,Heterogeneous Multi-path Checkpointing Mechanism for Training Deep Learning Models,Shucheng Wang|Qiang Cao|Kaiye Zhou|Jun Xu|Zhandong Guo|Jiannan Guo,ICCD-2024-P0026,10.1109/iccd63220.2024.00036,https://www.iccd-conf.com/2024/bestpaper.html,https://doi.org/10.1109/iccd63220.2024.00036,https://doi.org/10.1109/iccd63220.2024.00036,https://dblp.uni-trier.de/db/conf/iccd/iccd2024.html,ICCD 2024 Best Paper Candidates,https://www.iccd-conf.com/2024/bestpaper.html,official_page,primary,verified,high,minor,Official candidate title differs from DOI title `ParaCkpt: Heterogeneous Multi-Path Checkpointing Mechanism for Training Deep Learning Models`; linked by manual alias. 2024 official page lists candidates but does not identify a winner.,T02/T05/T06,dnn_transformer_llm_accelerators,deep_learning|training,frontier,maybe,Official award/candidate status only; downstream impact was not citation-audited.,,"DNN, Transformer, and LLM accelerators"
ICCD-2024-A10,ICCD,ICCD,2024,complete,ICCD Best Paper Candidate,best_paper,Candidate,Efficiency Optimization for Autonomous Embedded Systems Using Shadow Cycles,Xinkai Wang|Chao Li|Lingyu Sun|Qizheng Lv|Xiaofeng Hou|Jingwen Leng|Minyi Guo,ICCD-2024-P0071,10.1109/iccd63220.2024.00082,https://www.iccd-conf.com/2024/bestpaper.html,https://doi.org/10.1109/iccd63220.2024.00082,https://doi.org/10.1109/iccd63220.2024.00082,https://dblp.uni-trier.de/db/conf/iccd/iccd2024.html,ICCD 2024 Best Paper Candidates,https://www.iccd-conf.com/2024/bestpaper.html,official_page,primary,verified,high,minor,Official candidate title differs from DOI title `SHEEO: Continuous Energy Efficiency Optimization in Autonomous Embedded Systems`; linked by manual alias. 2024 official page lists candidates but does not identify a winner.,T11/T12,other_needs_review,needs_review,frontier,maybe,Official award/candidate status only; downstream impact was not citation-audited.,,Other computer-design proceedings rows needing review
